bo_id,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
815,53.2000007629395,52.7000007629395,52.832829425403595,52.96565808786768,53.09848675033177,53.231315412795865,53.36414407525995,53.49697273772404,53.72121630362478,53.945459869525514,54.16970343542625,54.393947001326985,54.44849777664238,54.50304855195777,54.55759932727316,54.61215010258855,54.666700877903935,54.721251653219326,54.77580242853472,54.83035320385011,54.8849039791655,54.93945475448089
820,53.7999992370605,53.2999992370605,53.41501027556922,53.530021314077956,53.64503235258668,53.76004339109541,53.87505442960414,53.99006546811287,54.13758145367136,54.285097439229844,54.432613424788336,54.58012941034683,54.65224740553788,54.72436540072892,54.79648339591997,54.868601391111014,54.940719386302064,55.012837381493114,55.08495537668416,55.15707337187521,55.22919136706625,55.3013093622573
821,65.3000030517578,65.1999969482422,65.23426366349632,65.26853037875044,65.30279709400455,65.33706380925867,65.37133052451279,65.4055972397669,65.68199578676918,65.95839433377145,66.23479288077372,66.511191427776,66.61126386536229,66.71133630294858,66.81140874053486,66.91148117812115,67.01155361570744,67.11162605329373,67.21169849088002,67.3117709284663,67.4118433660526,67.51191580363889
823,62.5,62.0,62.117984818615795,62.23596963723159,62.353954455847386,62.47193927446319,62.589924093078984,62.70790891169478,62.85988556741385,63.01186222313291,63.163838878851976,63.315815534571044,63.42004997344871,63.524284412326374,63.62851885120404,63.7327532900817,63.83698772895937,63.94122216783704,64.04545660671471,64.14969104559236,64.25392548447003,64.3581599233477
825,68.5,67.8000030517578,67.93527566181936,68.07054827188091,68.20582088194247,68.34109349200403,68.47636610206558,68.61163871212715,68.76454839015894,68.91745806819071,69.0703677462225,69.22327742425429,69.33423000525306,69.44518258625185,69.55613516725062,69.6670877482494,69.77804032924817,69.88899291024694,69.99994549124573,70.1108980722445,70.22185065324328,70.33280323424205
827,67.5,66.8000030517578,66.93586671184369,67.07173037192959,67.20759403201548,67.34345769210137,67.47932135218727,67.61518501227316,67.76898126534145,67.92277751840975,68.07657377147804,68.23037002454633,68.35770579322005,68.48504156189378,68.6123773305675,68.73971309924121,68.86704886791495,68.99438463658866,69.12172040526238,69.2490561739361,69.37639194260983,69.50372771128355
829,68.1999969482422,67.5,67.6312300442452,67.7624600884904,67.8936901327356,68.0249201769808,68.156150221226,68.2873802654712,68.45922380596011,68.631067346449,68.8029108869379,68.9747544274268,69.04203356469881,69.10931270197084,69.17659183924285,69.24387097651486,69.31115011378688,69.37842925105889,69.4457083883309,69.51298752560291,69.58026666287493,69.64754580014694
830,66.1999969482422,65.5999984741211,65.69669800664467,65.79339753916824,65.89009707169181,65.98679660421539,66.08349613673896,66.18019566926253,66.35024649392679,66.52029731859105,66.69034814325532,66.86039896791958,66.91475681834407,66.96911466876857,67.02347251919306,67.07783036961756,67.13218822004205,67.18654607046653,67.24090392089103,67.29526177131552,67.34961962174002,67.40397747216451
850,50.5,49.9000015258789,50.03352822315445,50.16705492043,50.30058161770555,50.434108314981096,50.567635012256645,50.701161709532194,50.926451373975766,51.151741038419345,51.37703070286292,51.60232036730649,51.66441030005518,51.72650023280387,51.788590165552556,51.85068009830125,51.91277003104994,51.97485996379863,52.03694989654732,52.099039829296004,52.161129762044695,52.223219694793386
867,64.8000030517578,64.0999984741211,64.23484020619604,64.36968193827099,64.50452367034595,64.63936540242089,64.77420713449584,64.90904886657079,64.98630955733458,65.06357024809837,65.14083093886217,65.21809162962596,65.31437714804711,65.41066266646828,65.50694818488944,65.6032337033106,65.69951922173175,65.79580474015292,65.89209025857407,65.98837577699523,66.0846612954164,66.18094681383755
