"Prognose(-interval)";"Leeftijd";"Perioden";"Regio-indeling 2021";"Totale bevolking (x 1 000)"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Bergen (NH.)";"    29.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Bergen (NH.)";"    28.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Bergen (NH.)";"    28.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Bergen (NH.)";"    28.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Bergen (NH.)";"    29.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Bergen (NH.)";"    29.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Beverwijk";"    43.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Beverwijk";"    44.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Beverwijk";"    45.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Beverwijk";"    45.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Beverwijk";"    46.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Beverwijk";"    46.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"De Bilt";"    42.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"De Bilt";"    41.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"De Bilt";"    41.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"De Bilt";"    41.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"De Bilt";"    41.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"De Bilt";"    41.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Blaricum";"    12.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Blaricum";"    11.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Blaricum";"    11.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Blaricum";"    10.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Blaricum";"    10.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Blaricum";"     9.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Bloemendaal";"    22.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Bloemendaal";"    21.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Bloemendaal";"    21.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Bloemendaal";"    20.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Bloemendaal";"    20.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Bloemendaal";"    19.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Bodegraven-Reeuwijk";"    36.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Bodegraven-Reeuwijk";"    36.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Bodegraven-Reeuwijk";"    36.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Bodegraven-Reeuwijk";"    35.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Bodegraven-Reeuwijk";"    35.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Bodegraven-Reeuwijk";"    35.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Brielle";"    17.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Brielle";"    17.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Brielle";"    17.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Brielle";"    17.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Brielle";"    17.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Brielle";"    17.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Bunnik";"    15.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Bunnik";"    15.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Bunnik";"    16.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Bunnik";"    16.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Bunnik";"    16.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Bunnik";"    16.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Bunschoten";"    22.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Bunschoten";"    23.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Bunschoten";"    23.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Bunschoten";"    24.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Bunschoten";"    24.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Bunschoten";"    25.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Capelle aan den IJssel";"    66.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Capelle aan den IJssel";"    66.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Capelle aan den IJssel";"    66.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Capelle aan den IJssel";"    66.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Capelle aan den IJssel";"    65.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Capelle aan den IJssel";"    64.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Castricum";"    35.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Castricum";"    35.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Castricum";"    35.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Castricum";"    34.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Castricum";"    34.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Castricum";"    34.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Delft";"   108.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Delft";"   114.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Delft";"   114.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Delft";"   114.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Delft";"   113.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Delft";"   111.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Diemen";"    32.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Diemen";"    34.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Diemen";"    35.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Diemen";"    35.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Diemen";"    35.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Diemen";"    34.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Dordrecht";"   120.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Dordrecht";"   123.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Dordrecht";"   123.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Dordrecht";"   123.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Dordrecht";"   122.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Dordrecht";"   121.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Drechterland";"    19.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Drechterland";"    19.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Drechterland";"    18.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Drechterland";"    18.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Drechterland";"    18.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Drechterland";"    17.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Edam-Volendam";"    36.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Edam-Volendam";"    36.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Edam-Volendam";"    36.2"
