"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"2624";"T001038";"10000";"T001019";"GM0361";"2020JJ00";"  109436"
"2625";"T001038";"10000";"T001019";"GM0361";"2021JJ00";"  109896"
"2626";"T001038";"10000";"T001019";"GM0361";"2022JJ00";"  110783"
"2627";"T001038";"10000";"T001019";"GM0361";"2023JJ00";"  111834"
"2659";"T001038";"10000";"T001019";"GM0141";"2019JJ00";"   72849"
"2660";"T001038";"10000";"T001019";"GM0141";"2020JJ00";"   73107"
"2661";"T001038";"10000";"T001019";"GM0141";"2021JJ00";"   73132"
"2662";"T001038";"10000";"T001019";"GM0141";"2022JJ00";"   73155"
"2663";"T001038";"10000";"T001019";"GM0141";"2023JJ00";"   73949"
"2695";"T001038";"10000";"T001019";"GM0034";"2019JJ00";"  207904"
"2696";"T001038";"10000";"T001019";"GM0034";"2020JJ00";"  211893"
"2697";"T001038";"10000";"T001019";"GM0034";"2021JJ00";"  214715"
"2698";"T001038";"10000";"T001019";"GM0034";"2022JJ00";"  217828"
"2699";"T001038";"10000";"T001019";"GM0034";"2023JJ00";"  222825"
"2731";"T001038";"10000";"T001019";"GM0484";"2019JJ00";"  110986"
"2732";"T001038";"10000";"T001019";"GM0484";"2020JJ00";"  111897"
"2733";"T001038";"10000";"T001019";"GM0484";"2021JJ00";"  112587"
"2734";"T001038";"10000";"T001019";"GM0484";"2022JJ00";"  112926"
"2735";"T001038";"10000";"T001019";"GM0484";"2023JJ00";"  114182"
"2767";"T001038";"10000";"T001019";"GM0741";"2019JJ00";""
"2768";"T001038";"10000";"T001019";"GM0741";"2020JJ00";""
"2769";"T001038";"10000";"T001019";"GM0741";"2021JJ00";""
"2770";"T001038";"10000";"T001019";"GM0741";"2022JJ00";""
"2771";"T001038";"10000";"T001019";"GM0741";"2023JJ00";""
"2803";"T001038";"10000";"T001019";"GM1723";"2019JJ00";"   10149"
"2804";"T001038";"10000";"T001019";"GM1723";"2020JJ00";"   10203"
"2805";"T001038";"10000";"T001019";"GM1723";"2021JJ00";"   10373"
"2806";"T001038";"10000";"T001019";"GM1723";"2022JJ00";"   10425"
"2807";"T001038";"10000";"T001019";"GM1723";"2023JJ00";"   10463"
"2839";"T001038";"10000";"T001019";"GM1959";"2019JJ00";"   55386"
"2840";"T001038";"10000";"T001019";"GM1959";"2020JJ00";"   55967"
"2841";"T001038";"10000";"T001019";"GM1959";"2021JJ00";"   56352"
"2842";"T001038";"10000";"T001019";"GM1959";"2022JJ00";"   57009"
"2843";"T001038";"10000";"T001019";"GM1959";"2023JJ00";"   57726"
"2875";"T001038";"10000";"T001019";"GM0142";"2019JJ00";""
"2876";"T001038";"10000";"T001019";"GM0142";"2020JJ00";""
"2877";"T001038";"10000";"T001019";"GM0142";"2021JJ00";""
"2878";"T001038";"10000";"T001019";"GM0142";"2022JJ00";""
"2879";"T001038";"10000";"T001019";"GM0142";"2023JJ00";""
"2911";"T001038";"10000";"T001019";"GM1679";"2019JJ00";""
"2912";"T001038";"10000";"T001019";"GM1679";"2020JJ00";""
"2913";"T001038";"10000";"T001019";"GM1679";"2021JJ00";""
"2914";"T001038";"10000";"T001019";"GM1679";"2022JJ00";""
"2915";"T001038";"10000";"T001019";"GM1679";"2023JJ00";""
"2947";"T001038";"10000";"T001019";"GM0060";"2019JJ00";"    3673"
"2948";"T001038";"10000";"T001019";"GM0060";"2020JJ00";"    3716"
"2949";"T001038";"10000";"T001019";"GM0060";"2021JJ00";"    3746"
"2950";"T001038";"10000";"T001019";"GM0060";"2022JJ00";"    3757"
"2951";"T001038";"10000";"T001019";"GM0060";"2023JJ00";"    3840"
"2983";"T001038";"10000";"T001019";"GM0306";"2019JJ00";""
"2984";"T001038";"10000";"T001019";"GM0306";"2020JJ00";""
"2985";"T001038";"10000";"T001019";"GM0306";"2021JJ00";""
"2986";"T001038";"10000";"T001019";"GM0306";"2022JJ00";""
"2987";"T001038";"10000";"T001019";"GM0306";"2023JJ00";""
"3019";"T001038";"10000";"T001019";"GM0307";"2019JJ00";"  156286"
"3020";"T001038";"10000";"T001019";"GM0307";"2020JJ00";"  157276"
"3021";"T001038";"10000";"T001019";"GM0307";"2021JJ00";"  157462"
"3022";"T001038";"10000";"T001019";"GM0307";"2022JJ00";"  158590"
"3023";"T001038";"10000";"T001019";"GM0307";"2023JJ00";"  160759"
"3055";"T001038";"10000";"T001019";"GM0198";"2019JJ00";""
"3056";"T001038";"10000";"T001019";"GM0198";"2020JJ00";""
"3057";"T001038";"10000";"T001019";"GM0198";"2021JJ00";""
"3058";"T001038";"10000";"T001019";"GM0198";"2022JJ00";""
"3059";"T001038";"10000";"T001019";"GM0198";"2023JJ00";""
"3091";"T001038";"10000";"T001019";"GM0362";"2019JJ00";"   90838"
"3092";"T001038";"10000";"T001019";"GM0362";"2020JJ00";"   91675"
"3093";"T001038";"10000";"T001019";"GM0362";"2021JJ00";"   90829"
"3094";"T001038";"10000";"T001019";"GM0362";"2022JJ00";"   92331"
