"Prognose(-interval)";"Leeftijd";"Perioden";"Regio-indeling 2021";"Totale bevolking (x 1 000)"
"Prognose";"Totaal";"2045";"Bloemendaal";"    23.1"
"Prognose";"Totaal";"2050";"Bloemendaal";"    23.1"
"Prognose";"Totaal";"2025";"Bodegraven-Reeuwijk";"    37.1"
"Prognose";"Totaal";"2030";"Bodegraven-Reeuwijk";"    37.5"
"Prognose";"Totaal";"2035";"Bodegraven-Reeuwijk";"    37.8"
"Prognose";"Totaal";"2040";"Bodegraven-Reeuwijk";"    37.9"
"Prognose";"Totaal";"2045";"Bodegraven-Reeuwijk";"    37.9"
"Prognose";"Totaal";"2050";"Bodegraven-Reeuwijk";"    37.7"
"Prognose";"Totaal";"2025";"Brielle";"    17.9"
"Prognose";"Totaal";"2030";"Brielle";"    18.5"
"Prognose";"Totaal";"2035";"Brielle";"    18.7"
"Prognose";"Totaal";"2040";"Brielle";"    18.9"
"Prognose";"Totaal";"2045";"Brielle";"    18.9"
"Prognose";"Totaal";"2050";"Brielle";"    18.9"
"Prognose";"Totaal";"2025";"Bunnik";"    16.1"
"Prognose";"Totaal";"2030";"Bunnik";"    16.5"
"Prognose";"Totaal";"2035";"Bunnik";"    17.1"
"Prognose";"Totaal";"2040";"Bunnik";"    17.7"
"Prognose";"Totaal";"2045";"Bunnik";"    18.4"
"Prognose";"Totaal";"2050";"Bunnik";"    19.0"
"Prognose";"Totaal";"2025";"Bunschoten";"    23.1"
"Prognose";"Totaal";"2030";"Bunschoten";"    24.1"
"Prognose";"Totaal";"2035";"Bunschoten";"    25.0"
"Prognose";"Totaal";"2040";"Bunschoten";"    25.8"
"Prognose";"Totaal";"2045";"Bunschoten";"    26.5"
"Prognose";"Totaal";"2050";"Bunschoten";"    27.1"
"Prognose";"Totaal";"2025";"Capelle aan den IJssel";"    68.0"
"Prognose";"Totaal";"2030";"Capelle aan den IJssel";"    69.1"
"Prognose";"Totaal";"2035";"Capelle aan den IJssel";"    70.4"
"Prognose";"Totaal";"2040";"Capelle aan den IJssel";"    70.6"
"Prognose";"Totaal";"2045";"Capelle aan den IJssel";"    70.8"
"Prognose";"Totaal";"2050";"Capelle aan den IJssel";"    71.2"
"Prognose";"Totaal";"2025";"Castricum";"    36.3"
"Prognose";"Totaal";"2030";"Castricum";"    36.4"
"Prognose";"Totaal";"2035";"Castricum";"    36.7"
"Prognose";"Totaal";"2040";"Castricum";"    36.9"
"Prognose";"Totaal";"2045";"Castricum";"    37.2"
"Prognose";"Totaal";"2050";"Castricum";"    37.3"
"Prognose";"Totaal";"2025";"Delft";"   111.7"
"Prognose";"Totaal";"2030";"Delft";"   119.3"
"Prognose";"Totaal";"2035";"Delft";"   122.2"
"Prognose";"Totaal";"2040";"Delft";"   123.7"
"Prognose";"Totaal";"2045";"Delft";"   124.0"
"Prognose";"Totaal";"2050";"Delft";"   124.5"
"Prognose";"Totaal";"2025";"Diemen";"    34.4"
"Prognose";"Totaal";"2030";"Diemen";"    37.5"
"Prognose";"Totaal";"2035";"Diemen";"    40.2"
"Prognose";"Totaal";"2040";"Diemen";"    42.1"
"Prognose";"Totaal";"2045";"Diemen";"    43.4"
