,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
experiment_000,0.0021119324181626186,0.0021433300676629557,0.002141961107034342,0.0021554359651521607,0.0013606958416258234,0.7204565415160687,0.8014769317670903,0.7665034492177951,0.8047973529825685,0.7858127885289661,0.8116048123482373,0.7526605206778566,0.7562615124128205,0.8135113532724719,0.8375971672325163,0.8577412161395169,0.8325849345550199,0.8193919498913731,0.8474913234850538,0.8546325287855505,0.7916370674343709,0.7881717907357886,0.8016060067282827,0.8166606545523484,0.7711558167466183,0.8494842342826657,0.827430886753118,0.8331105293427341,0.8503677059299687,0.8038964052693538,0.8366179941814839,0.8166471373907337
experiment_001,0.0021119324181626186,0.0021077719802972874,0.0021366220698255975,0.0021223796146983345,0.0013121953012244652,0.7878714365669519,0.7279552493963238,0.6478272732753824,0.7431164790812662,0.7232649265579184,0.7557838960833365,0.740713032713592,0.7626149341071166,0.7206358364061247,0.7329061264893634,0.7564534490466995,0.8303619729120454,0.7786030622273434,0.7869011899321581,0.8721854899993693,0.7829226197165837,0.8259808055382735,0.8174437238298911,0.8850900955433586,0.8695048769945739,0.8452820333587264,0.8899279083089031,0.8769839612167311,0.9205700139179163,0.9283435944021838,0.9777093955110272,0.943163722156177
experiment_002,0.0021119324181626186,0.002109686592602588,0.002119621156472755,0.002106537853348429,0.001296286287974466,0.6773520287668705,0.6614609752897026,0.7007352557991936,0.7206340473764584,0.7485436277890509,0.7194751826164354,0.7429250882868245,0.7341845179456244,0.7834112347458076,0.7673752037564733,0.754997945501274,0.8118292236818823,0.791977273014642,0.8428826950505258,0.8412698441013444,0.8052385466078604,0.8692960626014412,0.9130274108633772,0.9756837060436268,0.9783503861440723,1.0047006153344757,0.9996331329817838,1.090073893240484,1.0431984202731766,1.118807463382976,1.1708620350286099,1.2472505388133912
experiment_003,0.0021119324181626186,0.002115441746995331,0.0022214384268263465,0.002223064306088738,0.001340225267017604,0.7356524865301936,0.7820339529198093,0.8009535797926914,0.8857924043777909,0.7465492523142299,0.8462176283921168,0.8203851847022495,0.8493120280501893,0.8711681002595119,0.831009539143456,0.8821443875572202,0.8517965767958097,0.9090575738331192,0.89353815028647,0.888038413788334,0.9059843586206338,0.968373070775522,0.9561973109071653,0.9839221284715742,0.9958425818689455,1.005527733009044,1.0171613734991931,1.0533872926040773,1.0524448131315756,1.097266991468198,1.085629102388161,1.1421779848933873
experiment_004,0.0021119324181626186,0.002133338378729604,0.002133810607528068,0.0021422041011555583,0.0013528913245391236,0.6700595077288627,0.8009015488098465,0.7196917764152333,0.85410985963115,0.7637423149485625,0.8319280960309849,0.8537765697037578,0.8679614511049588,0.8545402410175538,0.8415637307216768,0.8269871741974204,0.9131703457647011,0.9658217279737917,0.9007421369989227,0.9621578712010536,0.9925036274417354,0.9307071827844283,0.9937324323922397,1.036236574100109,1.0012399130577427,1.0655237300340838,1.0632608194440452,1.0712925507942035,1.116286606938049,1.1633798607699621,1.1366354847365558,1.1591031758653265
experiment_005,0.0021119324181626186,0.002184698003832524,0.002166309318073948,0.00215592500596624,0.0013077060715019108,0.6889212211895961,0.7423300398640443,0.7165437724849183,0.8403665458565704,0.7813810511007206,0.8159000233548411,0.8059105929220609,0.7647924367246658,0.8178817660245721,0.784983008363815,0.8009283676243056,0.8516887727214767,0.8096262527910731,0.9191284664661117,0.8586003439575374,0.9370163731265555,0.9247228594631726,0.9916701833897635,0.978536553244356,0.9541201553951477,1.0510366923284995,1.03092216441396,1.052350116365696,1.1510110730779248,1.1552207484530008,1.2121278004494886,1.2123165233252977
experiment_006,0.0021119324181626186,0.002140975898074549,0.0021716556724990523,0.0022035017055525067,0.0014019815876819318,0.7935357263402153,0.7574350424364806,0.8017973299170733,0.8733727527374258,0.7796695479704128,0.870383064936218,0.8397292452781416,0.79643069355954,0.8873485121249248,0.8693124439180631,0.9002397640505306,0.9509855406045973,0.897822826232009,0.989836218279842,0.951320526976755,1.0656907304553829,1.073371588433967,1.0258446631327303,1.0567836461313034,1.1038205546522661,1.1257695912023704,1.160426892071776,1.1829112355486544,1.1653250449661459,1.1954019449969004,1.2380489295436288,1.2861692229226405
experiment_007,0.0021119324181626186,0.0021175933122053615,0.002157437356150498,0.00214945729504573,0.0013130151876677265,0.721813859837708,0.6502617796534895,0.7458877597455713,0.8089406055855906,0.8438143031688426,0.8200050259792455,0.8550402793968118,0.8058812383449311,0.8360404226427939,0.8909002026949792,0.8329561444151897,0.8652122824821326,0.9026537022795367,0.9559244262682823,0.9552007452627889,0.94091659319554,0.9943990841521927,1.0113261584099413,1.0143823088159878,1.059582080258789,1.0692642375182235,1.1157971897778456,1.1735994933174587,1.1995430972055454,1.2000889430567103,1.2271342213112344,1.3043347410483839
experiment_008,0.0021119324181626186,0.002125410712900405,0.0020950177999227403,0.002064809398067712,0.0012578456541505341,0.6552589027391467,0.6873083027314948,0.6375042902167051,0.7134915517874529,0.6637599455693326,0.6798212710274744,0.7768108863303183,0.7419798205618976,0.7194985069445996,0.802888333289159,0.7424848185328301,0.7607736162848722,0.7348127402392575,0.7464628714643157,0.7869086012955171,0.8046461068937084,0.816213163137612,0.843512709454103,0.84979442504166,0.8796161951065019,0.8916708062032588,1.0053200645435412,0.9441910664706569,1.0341880220246886,0.999214145330113,1.021440641676889,1.1266814469925643
experiment_009,0.0021119324181626186,0.002121902985162629,0.0021992010596078937,0.002212121282057408,0.0013541226304756068,0.7791122003055271,0.7660000643000601,0.6985538102549668,0.8307302121748978,0.768360664423904,0.8040511749964222,0.8215543156915397,0.81335758247421,0.8492812070833012,0.821210089426531,0.9257671920298781,0.8859492368950742,0.9300684168022375,0.9471528022584056,0.9733402496462437,1.018218374329858,1.0222878866057112,1.0612182919525688,1.0969910130593943,1.1070872648199028,1.1199469269725981,1.1535984489245115,1.1922528264604058,1.228630429124392,1.2775540227186368,1.298887831851052,1.3087110818931724
