,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
experiment_000,6213.268808061085,6248.755434248291,6274.339348608643,6305.961242427462,6324.032191810947,4885.5043789759075,4801.908978448352,4870.509941684304,4918.310958550235,4896.636156607784,4892.3028170688995,4988.268409521435,5005.417431685607,4922.185251575154,4986.145756352953,4903.3367632310365,5019.4854640617705,4977.3099349006325,4938.049510100568,4924.705017102936,4985.694798670571,5022.382915269071,5045.561227204692,4963.549050923163,5033.974591885335,4980.1805412070835,4991.1235256932,4998.736125147107,4957.536257231044,5023.17397602608,5047.923300160109,5046.283434771204
experiment_001,6213.268808061085,6229.153496989042,6243.378408746673,6259.98223862282,6286.564056211173,4570.324764887411,4538.9316776795185,4594.289862592577,4574.47769509562,4641.22646361361,4643.234237272786,4554.1663733763935,4660.799493473197,4667.552349550498,4643.262633314274,4690.122847481499,4771.264112188184,4714.069818752699,4915.3236694107445,4862.057830928221,4903.0623437977565,4916.147974461481,5009.67893277599,5097.371843895904,5140.406053436744,5211.054419186072,5311.6872753226335,5321.064011477589,5444.8151494986305,5442.2149908894735,5614.812369180838,5633.051520765055
experiment_002,6213.268808061084,6221.172935512543,6230.27769004774,6240.741761600268,6258.9366932914145,4501.6859843555685,4535.405405352807,4528.244755290316,4572.075142202235,4531.3508959076535,4605.403538265852,4580.8130446664345,4677.000120909733,4707.129843083614,4726.318533142714,4783.029177600114,4773.90155935183,4860.920803378307,4898.369371801056,5003.913361337775,5106.504275904918,5146.938446490141,5266.5111485906855,5309.638544398353,5449.84675328796,5548.2786931365135,5707.609793721945,5855.32793066056,6017.902322067244,6177.976570764285,6334.930571919202,6516.218085592034
experiment_003,6213.268808061085,6223.707568191928,6239.889259045809,6256.635130314179,6284.037301139031,4805.700486264166,4848.743978184316,4842.348367980709,4964.11938907287,4910.457339313817,5017.5295486884825,4981.400300728223,4990.465050456324,5086.667535704091,5154.8496837920475,5183.015348278315,5249.91764527618,5355.71986633116,5345.718367139381,5460.68020728067,5513.178221020258,5595.410468286073,5677.210065683681,5712.058852832108,5793.827351399128,5918.992209006523,5980.368270294002,6052.58162318561,6141.685052297407,6263.350774180819,6364.304401828543,6451.955210205424
experiment_004,6213.268808061084,6237.257718247434,6257.584726989038,6289.235512772382,6313.482139111164,4769.747189703812,4840.198306473243,4821.880922040509,4784.9447345724875,4950.611301599826,4995.307482447735,4994.65020016754,5046.292044021613,5127.121329814796,5211.405149103422,5244.248055866265,5262.011842800879,5380.082236563653,5456.71107486443,5506.341620843825,5572.77644840416,5685.621403218182,5773.826746014996,5831.818666341438,5916.383519681956,6032.093069088611,6123.168844343547,6231.748756303092,6307.076146314,6416.473633942254,6526.716271096534,6635.914154518869
experiment_005,6213.268808061084,6213.081315506726,6208.278959877727,6209.35063868085,6220.008985684576,4759.539176984313,4628.484767729959,4703.176236378179,4714.669973354703,4851.628812143244,4716.408709048351,4809.499902888534,4785.107691444826,4839.524450231371,4904.688622372343,5021.48078374837,5068.345448025017,5021.7818169698385,5146.80276901227,5138.917632953026,5214.116294282136,5415.159283774146,5527.322801416762,5581.30563537428,5687.54318076549,5787.107513713623,5879.52963018494,6030.830869597483,6141.938157080274,6257.034108906044,6464.495408236367,6605.496895900587
experiment_006,6213.268808061085,6246.626020026641,6278.9358042819385,6302.5671626306175,6358.714325888308,4628.094484370276,4677.605174716109,4711.74508663772,4717.7840179187515,4846.2602448223915,4949.042975223072,4989.672192399301,5102.909113230258,5144.537574123795,5219.073219634309,5259.713435145467,5292.284740858469,5391.1771166769595,5530.516290833511,5634.261010651442,5679.952603372945,5801.856746636932,5904.30324476158,6013.092705179358,6128.097187895951,6236.369576909111,6366.391366228665,6466.313191516384,6598.590175001709,6713.378347678368,6826.553744273784,6940.459595175084
experiment_007,6213.268808061084,6217.27087950299,6231.099913832958,6248.331976939458,6277.810811703281,4637.345904982005,4760.197845867991,4768.518145019493,4727.201464576672,4808.3254498433635,4846.727505153575,4879.275660166462,4951.606543121645,5014.778436545876,5163.7008623340325,5152.262768959641,5190.300530469007,5304.6080644457725,5408.677935220152,5492.238994924122,5599.260049004357,5681.52140017941,5852.3752064717355,5936.850847122321,6040.622345401996,6156.302932927511,6319.72121718224,6446.8091385957505,6559.780966344017,6777.00494695337,6885.47241955406,7073.807373167697
experiment_008,6213.268808061084,6204.347753989947,6184.8704496749815,6176.143713058596,6181.12146466656,4510.7199862874295,4462.592849796996,4511.926873769962,4475.221413880929,4529.550713273273,4543.158555567811,4495.467187675728,4584.221850535301,4616.913431501624,4684.102783646351,4686.034208271827,4683.268109572586,4820.876665154314,4835.991894888491,4826.751897864261,4958.528638891046,5022.130808088789,5132.734677985129,5157.979066111388,5247.698698949525,5365.45578850261,5432.2476429721,5660.473221460612,5727.655996918711,5897.850983465578,6028.255119111708,6223.842496595855
experiment_009,6213.268808061084,6225.77405420184,6239.9970042278,6259.999452993861,6295.161370665216,4663.184537154606,4741.458105983673,4803.508688929309,4795.701374105778,4833.047790418294,4878.440721172621,4929.8859981078385,4977.683096446893,5062.19401626476,5029.803458386399,5103.976001509887,5197.038830173913,5322.1760360301705,5418.479138938264,5536.133063573903,5596.736671283761,5676.528197337986,5788.866785257113,5949.57804177561,6085.023554522906,6191.949737257437,6360.49623463485,6523.364241251271,6674.4806275111805,6843.089388486869,7039.70950391266,7227.7357205032295
