,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
experiment_000,6172.214571949973,6207.893483771346,6235.936095645582,6267.674672385202,6304.019870252578,4902.751374962956,4872.478211230563,4916.300042826451,5024.615608610864,4998.64968095214,5006.796419989423,5027.651391540621,5040.501643388345,5050.257455577721,5050.1864987486715,5013.618771818634,5075.405436016574,5058.776747351458,5059.190829673389,5033.102986334365,5065.130710284867,5046.488114683857,5082.896344091376,5039.967053902587,5090.894637743119,5098.161946178536,5067.333381134867,5071.943489062324,5072.804722251655,5045.619491666165,5105.279499326887,5079.019487419546
experiment_001,6172.214571949973,6190.13241879074,6206.299123893221,6223.646901106971,6252.150315786223,4566.922761638838,4504.13689317992,4639.438432638048,4618.751400180072,4603.603352991366,4701.309580347853,4639.261431487023,4699.857445662868,4753.707394160988,4769.653364653229,4822.072586097671,4838.974566544691,4785.807184911869,4880.242490664303,4875.06135006904,5029.086708944171,5061.406338005512,5094.57622051834,5140.925646907378,5239.897378004847,5274.867269437957,5394.592958120925,5478.006042745097,5535.669554911245,5590.345163828341,5691.8887551661,5820.81879337572
experiment_002,6172.214571949973,6186.008007951002,6194.8367237005195,6208.239829467513,6228.17958204877,4558.0448166189635,4554.301288414297,4474.065007306479,4529.429020506181,4550.202098158722,4662.317360792707,4678.4596800921345,4642.628376540539,4682.321830519581,4790.277822051348,4859.92131011416,4848.574725346057,4959.572299505077,4989.307311752555,5085.946967115013,5222.96728652952,5261.267330957484,5387.27999388434,5455.553757663108,5634.476322423395,5726.217500028819,5829.89166251682,6009.313574154728,6224.059545644329,6379.2420587243005,6557.062490591707,6782.081012807625
experiment_003,6172.214571949973,6182.928979709053,6197.045357896304,6214.565129068475,6238.005685163864,4839.73871430677,4900.4426551431725,4963.417554482217,4960.7956140844735,5039.1032527135285,5063.032804946197,5047.304803638455,5093.691613073752,5199.013832646306,5165.964916639822,5266.281281887055,5336.706608471199,5374.609260319166,5438.196848271174,5538.2581059535405,5613.256540483816,5696.31413139218,5713.690091658034,5845.741814262372,5959.533263060268,6040.612084618171,6102.36129518913,6171.102187444691,6334.028681836198,6396.260933593385,6491.77694636809,6580.884722171384
experiment_004,6172.214571949973,6197.425063558426,6221.61647884824,6253.351341980088,6296.915360860326,4815.252845021607,4801.702975347139,4832.520684304714,4949.67191716593,4954.628148129119,4987.470712053117,5115.488429542736,5110.999810294414,5160.866603477183,5219.827590092404,5327.9053332947005,5375.262479175482,5425.816167234744,5519.131824384733,5621.473061360879,5676.287314575692,5829.836676189446,5885.726866295127,5955.3759581804625,6080.61322228306,6162.07478377147,6281.083272554556,6373.954664911304,6471.715242288095,6559.78896487828,6716.186389535542,6835.9518169896655
experiment_005,6172.214571949973,6172.414175920814,6169.0335601270945,6171.678676301353,6181.588942564156,4763.323958869323,4712.590811596723,4742.150908059941,4795.595276535105,4816.571048471784,4777.478232686779,4824.578234725354,4916.717368741063,4902.585563107286,4964.869637799806,5031.669737662288,5083.2102089264745,5066.22570560486,5232.539658549837,5269.408978443051,5378.470007271028,5429.8882943965145,5543.363473495676,5664.871053084244,5753.260455771325,5878.354501499312,6018.8782825010385,6151.846316772702,6294.751766069816,6446.290724663548,6585.440568956426,6728.379980906027
experiment_006,6172.214571949973,6206.469536237186,6238.190383282013,6279.699289898666,6331.559831417106,4705.52593075,4752.818373402506,4779.91610928127,4926.584851736792,4934.312231554339,4968.2106303430155,5030.819771407361,5118.8835696890965,5196.21005687001,5232.301414377174,5376.291363965691,5509.524429257817,5536.34337371553,5630.448389166859,5781.264685916745,5886.91342214719,5960.597009449641,6097.917399376949,6212.284974744234,6309.513078990129,6410.736761258322,6535.8557399167075,6649.025500818958,6779.163437894145,6918.511288832924,7063.77567538627,7205.091950926059
experiment_007,6172.214571949973,6183.042635984386,6193.547327698467,6212.93416189223,6242.577381778916,4763.861129499691,4835.474870246672,4787.925389312892,4838.921392865303,4883.219762320417,4933.698924893055,4936.453221192685,5001.768011533159,5078.605331898991,5183.608217752375,5263.89470785114,5302.9530197796785,5384.0461257345905,5517.293099151157,5585.607822577711,5707.990557011921,5795.39846488808,5939.466085041039,6071.793880371321,6191.901930222453,6348.352829677879,6439.655372490846,6639.370010057613,6769.2654365226845,6958.0452026001985,7066.443392431263,7271.284808879962
experiment_008,6172.214571949973,6166.384423112605,6152.3825441957415,6148.184192510764,6156.448307582759,4534.697769319391,4478.927712978136,4450.7251003587,4515.088916805,4620.601470693167,4629.474889969455,4555.10411661378,4511.121348531641,4543.597551889568,4609.974668731895,4666.150466807888,4752.049786360257,4769.968078384758,4813.219761774985,4916.274503949046,4924.378247057881,5060.366029287646,5137.89960805516,5227.396064914015,5342.159066437578,5488.522751600209,5607.172292560563,5774.929675205519,5857.685984049591,6073.985244736702,6166.640465316936,6386.832020748981
experiment_009,6172.214571949973,6185.129494951507,6198.311869899621,6217.63618873358,6244.463162863025,4691.233834789059,4813.711028236783,4782.545543900542,4844.291228982795,4890.591270554377,4923.736393491326,4941.532661174198,5064.121274816815,5110.635219920034,5122.341590327932,5221.655267571613,5356.724667995253,5395.796586987701,5518.181226103025,5531.341043400525,5701.438246982661,5816.839365147784,5957.398394540239,6078.478206088526,6240.460117347227,6373.172103501798,6524.1658118550695,6664.798832080063,6832.411816516042,7031.759856349265,7221.45708497815,7416.159959864901
