,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
experiment_000,1449.0,1461.4993177990498,1463.7742828326855,1473.375316192316,1487.9689901527806,1967.8546812775876,1998.8288782785885,1990.2513137932692,2075.798980745821,2067.601028404471,2087.8659562689586,2080.3129888141425,2075.0004601984233,2069.3577497786496,2047.358482440213,2039.4935488754784,2071.47717824524,2036.6817509359257,2026.5983425890552,2021.969610104678,2013.0997345947503,1992.2541949007777,1977.997565598898,1952.757721974939,1911.7673430894347,1948.0580657213818,1903.5573390141049,1882.4506773462667,1888.0951569269487,1863.2897973383933,1849.3753141889915,1815.5973976126245
experiment_001,1449.0,1441.9969457456043,1442.707009949709,1436.7089937828728,1439.5863650534216,1869.5325679024816,1863.6119218461185,1872.956502007754,1926.411990895621,1931.7231993914054,1943.6105093351991,1935.9111473531127,1936.4273414574532,1945.0858535530099,1967.427290868845,2001.2477027105886,2010.316290393274,2034.6954243085675,2077.281963490256,2116.6511483119193,2166.681743108803,2182.2533787613806,2226.7446025129952,2255.7449794858985,2318.733581179315,2380.4913932385894,2375.070476611877,2466.2280538059636,2499.142673489065,2575.2318555404336,2550.4733005825665,2640.0374339499995
experiment_002,1449.0,1437.9064996150073,1436.0845985453702,1427.5582039456835,1425.3168007957331,1867.198543280708,1847.2181255235505,1844.5153389374232,1919.6556034066073,1942.138209352058,1906.3269394889803,1948.0053436739781,1977.5363347447055,1990.5039782185374,2002.1243870154067,2028.430353301735,2066.8376438379446,2120.1863262653533,2163.4844785687865,2216.55078323862,2268.82178287708,2340.340970468195,2419.6695323776466,2420.0531584519053,2522.2279518154455,2550.032760664092,2655.6251034093775,2732.353710462638,2790.1809996841866,2917.0877961983215,3045.804593876174,3144.9218882558353
experiment_003,1449.0,1448.829172924452,1494.29799687332,1495.1191604366209,1521.5556161243544,1947.2684598122416,1947.515717368396,1979.4927670542338,2025.461461860674,2042.822123711958,2039.930228397292,2040.3750814205594,2080.7540534956306,2087.576577372221,2122.4097583305706,2134.9829999381736,2154.811186177781,2190.202534487337,2195.807636811526,2226.545840561091,2253.6397303773856,2294.643068011498,2326.9490077759306,2333.92483804145,2378.263983995397,2407.2178763072006,2439.463895447058,2462.2189013474344,2490.174090540015,2549.3195322243123,2563.965908607577,2593.840543407563
experiment_004,1449.0,1455.7435030502625,1455.4666705378556,1464.21017016951,1480.8616870685723,1969.56634512748,1981.4340935483413,1961.9992698023918,2108.134126984422,2120.456663116116,2129.8119345646824,2172.6428557931367,2185.3578634724377,2201.9618505059884,2241.718895980975,2260.0787440113736,2296.031538358235,2339.6125706911707,2399.4840463108058,2412.0894201600854,2460.809926629764,2501.15046677647,2536.253938920482,2575.1341919061592,2628.9237316498893,2665.9030416814903,2703.987099734624,2755.222008523926,2838.475352200906,2881.0562514340954,2919.6634236562786,2969.810369628945
experiment_005,1449.0,1484.2081055830574,1468.4773231815443,1461.5603570474289,1461.1108989360469,1868.1828407153325,1888.5723085965221,1930.7630339901198,1950.6593359484975,1964.9490774473759,1978.0846992151405,2000.963363808497,2017.3025203868858,2038.5236863702805,2056.592970978145,2089.549346117608,2133.349017209672,2188.001085165388,2226.130455283706,2278.5384696617944,2342.906075327463,2393.4029772567937,2434.395935270263,2487.680391538019,2536.5857613457283,2631.3183574688856,2687.030614769911,2748.997730763005,2836.4786944224043,2939.8095009575263,3023.0069827891407,3112.675403107335
experiment_006,1449.0,1465.0797590950442,1480.5014404561343,1502.2355059949734,1533.001190698363,1961.40057879895,2035.4854530319044,2030.0314190875304,2180.6811968121033,2237.9211471517815,2261.0931361762778,2303.7938572895446,2321.7259439112536,2381.047395203987,2415.0988175222583,2441.7695386875375,2474.1370900128663,2511.903197499799,2535.7374893718093,2596.2374877937496,2634.2281316529416,2692.220461943876,2729.4456861477734,2806.086510975047,2853.3522197320426,2933.026147725227,2998.3019627466983,3028.42186216565,3110.167405384271,3193.835799117205,3226.0421956261894,3307.5448191787905
experiment_007,1449.0,1437.6127320951373,1464.6263039798305,1460.156315302272,1462.5242126873559,1921.8001384956397,1920.0539299337843,1928.154527468006,1996.3370867155809,2029.747111533133,2030.8461172411771,2065.974792322454,2073.030244285983,2095.4613274340436,2174.7026108576956,2183.632246600744,2249.6620278298915,2304.4293230537073,2343.978296869789,2410.5684253777395,2481.281412925115,2527.593906883927,2590.8186410984795,2660.721001956354,2709.536200916843,2764.011812885786,2843.995097463833,2946.8863351546765,3006.4805993902646,3080.981303885658,3175.5392097088748,3289.914318827608
experiment_008,1449.0,1439.8620907164568,1412.8867416100086,1402.8925300999838,1393.1144857369304,1786.7175581385645,1799.1214472362421,1762.3461227946561,1799.1708579485423,1794.1384919320967,1784.2144998323467,1776.0297869759347,1785.544832219003,1795.4562190787517,1807.6302634584927,1832.166839575742,1843.4926447770363,1878.481638196963,1896.7095510750685,1959.5289280487575,2003.051655936871,2055.5400457549395,2107.645074872504,2182.2566556276424,2227.7654572782194,2313.993880494486,2413.6690420515743,2486.4906653692174,2577.063982754744,2614.38150385194,2704.849978432124,2785.0957197486787
experiment_009,1449.0,1451.4288880848771,1490.7496720062766,1494.5739135135557,1529.9692678045262,1916.8633020818793,1941.7840296910983,1947.6996943318131,2087.244485000611,2084.4893182890332,2092.915805444747,2122.3551556031302,2153.205623293929,2191.0073323909965,2263.219507559332,2292.849986245641,2326.89627172591,2387.8885656996354,2433.323926886307,2466.382343023446,2507.7491839280556,2591.6844836756777,2624.814245399904,2697.5290396146934,2772.833906744808,2841.840292603902,2930.333274185645,3022.2406962285454,3139.3237594232482,3276.5461488486762,3361.0823428726317,3447.261428577649
experiment_010,1449.0,1456.856767929813,1455.1480142697974,1461.7190796763578,1476.2293651587515,1949.1108857651159,1989.1047327409074,1924.0908914571964,2061.3456536659696,2065.9525629275704,2095.333527946932,2101.8072201043015,2093.7648449137077,2139.744348056205,2141.8782473942315,2172.74690991655,2204.7325229181765,2218.029178856995,2252.9517929785825,2274.36707306177,2354.384489532643,2371.3613667910513,2396.6492028752587,2441.5712801338213,2518.9008820078457,2559.0509846721807,2593.4115213726964,2616.215468465981,2662.8409461049323,2728.0391911327124,2773.7715832930935,2813.5564138319664
experiment_011,1449.0,1452.3817972463985,1451.2951438886557,1446.9537234034528,1453.475789675151,1947.8572601252,1995.2282752101637,1956.4424549421415,2020.1884969541024,2031.469431339645,2012.5463910297135,2006.3169594229787,2001.5416318195093,2012.321658997071,2007.3325833164954,2018.4922315349195,2009.6032402584397,2013.3835660364998,2015.2293598336441,2007.006966714348,2034.6279560812852,2039.941761004502,2019.8726925477806,2035.2194458335312,2040.5731923625349,2046.7602715099706,2047.1197979834956,2060.0913896028833,2079.629486845975,2115.25202097408,2133.925524182286,2166.826295414465
experiment_012,1449.0,1448.6704859018782,1447.1631822184,1452.2325077847463,1462.8056273627649,1909.5478461753623,1942.9185350383882,1980.2305984865743,2063.9381325660265,2078.9659781618902,2129.1946496440755,2147.6211084394095,2187.582908110094,2245.7183079847687,2274.667076827329,2350.1891998047786,2400.4117958456095,2462.3643740669136,2521.7907064457268,2543.879543110561,2589.7372858433773,2661.6117550751064,2705.7836924862954,2822.744956719442,2886.407308985834,2956.51692217642,3018.224968212147,3134.508638919504,3235.310322631971,3344.7797737083056,3451.4945030923914,3594.8409480335526
