,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
experiment_000,2510.5494866246395,2526.084036524351,2467.617523768682,2483.649695527414,2609.9700098146914,2420.43049185586,2433.988314116545,2439.4477979762046,2491.050245165749,2480.660666133729,2489.619475749741,2515.2407156903537,2517.377151698285,2517.3459576320442,2532.4927913413603,2531.18976589777,2514.249028085303,2514.54681355165,2514.9865742690595,2519.9156754380283,2530.167676232325,2533.191129595031,2581.052316771974,2543.728934193981,2562.591396865235,2575.680068151901,2581.9631711350307,2523.1205884547617,2582.530338580068,2576.3660514326248,2591.297744256794,2593.2877956129937
experiment_001,2510.5494866246395,2508.727630621234,2509.645938650513,2435.210095579438,2534.625791792757,2293.827287430669,2292.9316561555297,2295.739388058242,2341.525655044067,2336.7484147221044,2343.278612675918,2361.854353979451,2367.349948903317,2383.65891144552,2440.376571344579,2447.036143580609,2501.3185558442683,2540.4777658748667,2561.913029700967,2573.1831608591583,2640.996684653176,2701.621100195957,2750.738744186789,2802.483288427544,2829.347900273124,2886.334540031746,2969.83259983079,3039.731651493696,3110.2108853646487,3204.650630152659,3274.7145669928477,3316.6237796092964
experiment_002,2510.5494866246395,2509.605839053946,2509.335595715942,2509.3969604543463,2529.620707585936,2272.7759926659132,2275.314064456014,2315.82121865528,2329.657736492678,2345.4721073294236,2341.8508996538285,2368.5158373717086,2390.0179587613734,2415.380852423271,2471.9686606466867,2495.1890946504327,2529.114149108276,2626.7247399332236,2635.81150122904,2729.0806038540627,2817.0453084807546,2888.5770030932194,3000.5224666315403,3085.4893999600754,3175.2786145572254,3256.268876900003,3449.2340888847343,3567.6962766451775,3690.8658136371946,3889.5851067410463,4135.77538365235,4344.96224183962
experiment_003,2510.5494866246395,2511.7805553883245,2604.720694671867,2610.011404563318,2696.2674839105875,2375.6212517713284,2386.5621275426543,2398.446829182716,2444.6708696352043,2464.7649564435314,2487.538857159225,2516.7339078593996,2563.6216870922854,2613.7142576934298,2658.1459287812227,2710.208297963302,2735.7127021714477,2824.977016623541,2882.2964762871165,3045.607844765121,3034.449098725824,3157.423395519219,3331.9591640724775,3363.2679121259207,3445.6939246874804,3473.8281290775208,3614.650040120435,3715.6585733277752,3755.5763742768722,3959.3230609342313,4036.530576736204,4168.583059709609
experiment_004,2510.5494866246395,2522.0541658812704,2537.275364134966,2480.954822807004,2612.844972283133,2400.85966763311,2430.8002084258533,2460.925841403963,2525.502266199015,2553.405250131693,2601.32971099215,2647.2394274778753,2671.7099232212818,2727.5317418215536,2788.214298478912,2864.5555043606237,2920.4234727622706,2985.018052819216,3062.0228483565766,3102.4060795001405,3173.1524553148665,3276.9643411883385,3316.774286647711,3444.597009047803,3554.5331586325033,3588.4220051412103,3743.7207472919217,3833.3550471604794,3964.964390139737,4004.179627644118,4184.216947449223,4295.976794926265
experiment_005,2510.5494866246395,2587.615848512069,2581.5669001747133,2576.321458787369,2688.574880566183,2302.354002302901,2301.41470727179,2309.6469110133658,2363.8387535778265,2360.4880281910773,2360.8667222400654,2389.2017851070514,2421.265194081528,2462.9387361985396,2486.4559314798294,2524.2487077064206,2596.5119474510902,2655.908824742969,2710.3980689978775,2783.030211241664,2885.175256862362,2935.7572123381574,3032.8909657179975,3130.4142542103123,3252.677665803787,3405.306506047041,3488.9724120859264,3660.6402234711823,3850.457833424338,4035.5203007823716,4217.754068039998,4387.95045981607
experiment_006,2510.5494866246395,2530.3780463553085,2554.195450998298,2581.790785217412,2633.660812681616,2433.288897067892,2481.3547777193694,2513.421818433845,2583.305415042404,2626.2988209628356,2664.347371544891,2725.0779851366533,2782.764723817815,2845.416150956553,2907.0567529098385,2975.913423428138,3039.8934155305765,3102.23101227802,3192.8486529296238,3279.0070612878053,3399.6070021593723,3498.869691141706,3597.510480546385,3701.1886379274406,3887.333653264994,3947.2418501269144,4087.9894323769813,4182.20491994401,4356.172245050214,4462.3827923271,4537.318680565609,4687.6210018217225
experiment_007,2510.5494866246395,2508.4092913706677,2595.5506691644587,2599.757650135523,2718.7227634127626,2332.816489630811,2347.031626432381,2373.3058407753438,2443.6797237508317,2477.1300548686904,2486.6409100419237,2572.471376362657,2631.0438131136825,2667.0471733027643,2697.465304664251,2794.0964176193384,2879.961881359536,2951.886616475509,3025.642147122997,3117.342604663488,3206.2137004218316,3327.082463303316,3431.5282740459174,3548.918464039588,3701.2445868954815,3807.1924969144907,3903.442487639098,4098.674733325246,4244.169195533382,4390.548754638822,4505.131717833454,4759.441307646027
experiment_008,2510.5494866246395,2496.8940650482564,2480.75832810671,2467.8714560506364,2550.5813744111965,2202.0959179912516,2194.965344674043,2177.3773668563967,2220.5306458348205,2222.3811727132215,2250.8260774326045,2241.8153488014464,2269.013277899488,2276.8578942844447,2316.1254707188787,2348.816906841643,2400.9814553107726,2438.3427991407516,2481.52793886832,2540.8124243784764,2618.3876527790158,2692.10570369339,2764.172711911693,2858.1622586096996,2978.358145641401,3064.0361268616207,3150.9261880389463,3276.139137376642,3403.5769091074067,3517.2138673025593,3700.325883649783,3817.9155058763445
experiment_009,2510.5494866246395,2515.0825836501144,2607.8291965399485,2622.532235757216,2707.616829150992,2362.9826549675954,2403.4400125382826,2395.758185326098,2460.425798732387,2486.166072250015,2515.8418381251813,2545.309307812177,2631.150534106417,2654.77837409208,2718.7699390525677,2777.5281002117736,2846.0083177733036,2921.316509751232,3048.543473836422,3128.8375323452847,3222.8472081010077,3330.988461453239,3441.359058492289,3618.984132711818,3771.4503912816303,3914.241337421714,4156.001378254594,4249.377826025416,4510.181342875227,4685.31617321075,4913.969081005505,5094.41659022985
experiment_010,2510.5494866246395,2528.3815413343136,2470.873910443843,2489.5322233107063,2605.7993913431637,2402.4345844831523,2417.342079276711,2433.725344423867,2499.5176002518447,2532.410248645443,2527.6137392279243,2573.065890849418,2599.8424182523877,2642.960053750066,2692.9988738460747,2726.147739341546,2745.0265379646394,2778.7373579827454,2871.4503318673965,2920.262600341705,2921.4532145951807,3046.2762419568217,3072.9486514435575,3166.5690191716676,3209.4813026653705,3327.242265146134,3367.7096983945285,3469.7931501454955,3557.77660004092,3621.170791475962,3722.0438732324083,3779.520611848984
experiment_011,2510.5494866246395,2455.000375572626,2471.2935361574378,2482.296272638177,2614.2934287320404,2412.4925415902203,2416.759999426284,2421.322703724986,2468.326667767452,2473.7370678818447,2484.747407946681,2482.1137903160643,2532.9193967638607,2518.721870234375,2515.2302728877075,2532.6731130603903,2523.648806290057,2552.5552175786106,2553.965608806286,2582.826414820629,2588.1275572982663,2591.554284996131,2611.3169976937966,2628.1618004899474,2633.945334186364,2634.933619190866,2653.397746984959,2686.0675037760525,2688.2530926175914,2725.776338899187,2753.6397288046037,2739.6899820644917
experiment_012,2510.5494866246395,2517.8948800654093,2453.099397048597,2467.842071281915,2580.2294571422062,2347.703063716282,2406.9423764461117,2424.279251932998,2485.0304956737764,2524.2155206615384,2566.367380980697,2610.552280517069,2691.53274525155,2746.467803196529,2860.092191355015,2914.396789145487,2980.025693187957,3081.7004488388166,3166.7806279158794,3249.8980489965447,3396.385595323665,3500.9152532333424,3606.447255218393,3784.979315459108,3940.864742194697,4074.0154598325016,4192.149305734147,4379.285862354285,4549.200397276166,4741.779119118357,4919.3942864226465,5106.2527187803935
experiment_013,2510.5494866246395,2445.227439570467,2544.4077376446476,2558.3792881588274,2687.8282221524296,2365.8830487155396,2392.324549655995,2449.8369842584525,2493.653529063743,2570.3485815380054,2613.4422360866697,2724.5573773278225,2745.819823899012,2816.0423665307208,2919.601882484991,3004.180531181458,3097.9778678836296,3189.4944609190693,3305.03312568891,3365.0930940240414,3462.9848885103465,3551.7441081293514,3748.4128268931654,3864.6393519685726,4016.0837627343362,4064.228880574081,4225.055747647727,4391.835845457308,4513.5039948018375,4721.457429107432,4911.962052097879,5108.430637709718
experiment_014,2510.5494866246395,2490.677979080364,2472.3264306164338,2460.407567151128,2544.5803595785655,2236.4258906535215,2234.6197258571783,2234.3961378051295,2277.937033292498,2301.181937137657,2315.187732877136,2346.933172956933,2381.2754743887353,2428.5277340875236,2478.742324109635,2553.6780254704117,2612.815270990572,2717.9956917164536,2797.1537415082075,2904.1027805886006,3007.3616868491426,3134.481333699637,3378.5213566712205,3512.38715695979,3675.543243392166,3861.0086732501895,4058.693778636796,4357.666976366384,4577.646247580022,4817.903322095618,5125.733159172131,5393.863976975652
experiment_015,2510.5494866246395,2549.2004580725165,2505.3577151332374,2459.822182205831,2386.5065325292107,2097.129418923437,2042.3565461767791,2015.876359309846,2022.8671015988498,2016.187240176502,1994.9528782562384,1982.019221671775,1963.4539894177212,1961.5249608048507,1955.335150173933,1974.1012743093315,1981.3905529399858,1989.4164743686952,2022.3308831956465,2035.0174116859403,2067.7454062631377,2115.033823305085,2120.1633716271167,2200.1263820189683,2262.5844556513243,2331.7505471931177,2406.813188878192,2501.4099462677837,2615.0305339100832,2732.876166348435,2850.504864496076,2963.578776980453
experiment_016,2510.5494866246395,2520.2110537372764,2621.4279433008383,2632.866620075055,2727.5761937508955,2386.1218405749373,2402.652688519969,2411.513344814947,2479.6260193268467,2502.688666240561,2540.7104399404047,2569.6065464499293,2608.118664318121,2626.5964745396013,2692.8596863659586,2728.9008877430865,2760.88671284043,2849.355464928031,2870.177569887897,2939.9629733513784,3011.1654263340906,3113.8718826684485,3173.4463605027418,3229.3746067338543,3310.808158208913,3410.894519708801,3495.5472003621076,3625.371118003645,3761.642811847976,3922.918546718622,4005.376423552423,4201.482849405043
experiment_017,2510.5494866246395,2534.022189495397,2481.887766843202,2506.8068291013137,2617.980643584803,2415.3914219758763,2432.513248802389,2475.790476863779,2520.6521619917735,2556.821179000118,2583.803026710825,2627.37430472304,2666.5135473607784,2709.80334354341,2748.0067364687307,2816.8569275429436,2857.3438471418667,2940.028274882924,2943.7984384838883,3020.4830453223976,3065.650603699987,3119.1562050240323,3196.8712208062975,3267.770939335463,3369.8353418864785,3450.419417802332,3557.2525823797123,3612.156244662119,3723.5361841007016,3900.7636517104665,3929.5875912309966,4010.390677482589
experiment_018,2510.5494866246395,2503.477824659226,2581.3682004191514,2573.459747320978,2672.8598223218332,2269.6079903896944,2298.5758232016206,2286.132264437554,2302.0573517193807,2309.7082209713003,2321.394867852845,2328.2388951428566,2327.7303689047953,2343.7204776165718,2353.868445531089,2374.414774049202,2409.9922119358953,2434.688218225858,2494.1244619126137,2509.860446485891,2596.9151837390573,2613.019857058283,2667.6240120751727,2735.003070521624,2784.4279166444594,2869.0025797378457,2942.7738097533174,2997.1168456393166,3108.835349268175,3245.2709250439493,3291.3817412098115,3366.847911679056
experiment_019,2510.5494866246395,2472.97087304268,2511.2549968023372,2541.2382044440037,2695.5208485199846,2516.3186302215754,2546.0563947523992,2586.487911103915,2682.8349363531365,2696.654317594533,2740.9839419551035,2777.404965103068,2848.5264985054123,2880.047910517202,2908.967075201848,2940.82642923762,2993.135544976125,3039.545728024338,3049.8398314758215,3092.2287726157283,3127.483492165594,3195.819397654336,3267.7717856328827,3261.1537059314824,3333.5423313988094,3384.0363407049103,3420.2142857876233,3499.615408196873,3583.8650366549878,3642.8397781442127,3647.12103690157,3712.5280157640996
