seconds,_year,cost_per_kilometer,gdp,total_vehicles,people.count.index,jobs.count.index,average_number_remote_working_days,percentage_of_remote_workers,world_trade_volume,share_service_sector_gdp,share_elderly_65_plus,higher_education_level_share,average_number_working_days,share_construction_sector_gdp,share_agriculture_sector_gdp,commuting_jobs_share
0.0,2019.0,100.0,100.0,8.531,100.0,3855.6,0.75,40.0,100.0,64.0,19.3,35.0,3.78,8.0,2.0,0.92
31536000.0,2020.0,98.30439387424947,99.8103020989314,8.627814462467347,100.28848717804343,3864.884800504665,0.8859954755137317,42.58119593381463,101.35699392010056,64.06350867674877,19.681456266952065,35.24780058651026,3.788181818181818,8.12023460410557,2.0,0.8935271200836717
63072000.0,2021.0,96.72301361769884,99.77614679197693,8.72559103010867,100.57730060725564,3875.801660924898,1.0155730809182277,45.04972938192959,102.72767363686819,64.10980133002234,20.04535196042332,35.50058651026393,3.7958181818181815,8.234604105571847,2.0,0.8682287233929832
94608000.0,2022.0,95.2558592303481,99.89753407913658,8.824329702923972,100.86644028763665,3888.350581260698,1.1387328162134878,47.405600344344876,104.11203915030286,64.1388779598207,20.391687080413767,35.758357771261,3.802909090909091,8.343108504398826,2.0,0.8441048099279345
126144000.0,2023.0,93.90293071219723,100.17446396041036,8.924030480913254,101.15590621918642,3902.5315615120667,1.255474681399512,49.6488088210605,105.51009046040458,64.15073856614387,20.720461626923402,36.02111436950147,3.809454545454545,8.44574780058651,2.0,0.8211553796885256
157680000.0,2024.0,92.66422806324626,100.60693643579826,9.024693364076512,101.445698401905,3918.344601679003,1.3657986764763004,51.77935481207644,106.92182756717337,64.14538314899187,21.031675599952234,36.28885630498534,3.8154545454545454,8.542521994134896,2.0,0.7993804326747564
189216000.0,2025.0,91.53975128349519,101.19495150530028,9.12631835241375,101.73581683579238,3935.789701761507,1.469704801443853,53.79723831739271,108.3472504706092,64.12281170836464,21.32532899950025,36.56158357771261,3.820909090909091,8.633431085043988,2.0,0.7787799688866269
220752000.0,2026.0,90.52950037294399,101.93850916891643,9.228905445924964,102.02626152084854,3954.8668617595786,1.5671930563021697,55.702459337009316,109.78635917071207,64.08302424426222,21.60142182556746,36.83929618768329,3.825818181818182,8.718475073313781,2.0,0.7593539883241375
252288000.0,2027.0,89.63347533159268,102.83760942664671,9.332454644610158,102.3170324570735,3975.5760816732186,1.6582634410512505,57.49501787092625,111.23915366748203,64.0260207566846,21.859954078153862,37.12199413489736,3.830181818181818,8.79765395894428,2.0,0.7411024909872875
283824000.0,2028.0,88.85167615944127,103.89225227849109,9.436965948469329,102.60812964446723,3997.9173615024256,1.7429159556910954,59.17491391914351,112.70563396091903,63.95180124563179,22.100925757259454,37.409677419354836,3.8339999999999996,8.870967741935484,2.0,0.7240254768760775
315360000.0,2029.0,88.18410285648973,105.10243772444962,9.542439357502479,102.89955308302974,4021.890701247201,1.8211506002217048,60.7421474816611,114.18580005102308,63.86036571110378,22.324336862884234,37.70234604105572,3.837272727272727,8.938416422287391,2.0,0.7081229459905074
346896000.0,2030.0,87.63075542273809,106.46816576452225,9.648874871709605,103.19130277276106,4047.496100907544,1.8929673746430782,62.19671855847902,115.67965193779418,63.75171415310057,22.53018739502821,38.0,3.84,9.0,2.0,0.6933948983305769
378432000.0,2031.0,87.19163385818634,107.98943639870903,9.75627249109071,103.48337871366117,4074.733560483455,1.9583662789552159,63.53862714959727,117.18718962123233,63.62584657162216,22.718477353691377,38.30263929618768,3.842181818181818,9.055718475073313,2.0,0.6798413338962862
409968000.0,2032.0,86.86673816283448,109.6662496270099,9.864632215645795,103.77578090573006,4103.603079974934,2.017347313158117,64.76787325501584,118.70841310133754,63.48276296666857,22.88920673887373,38.61026392961877,3.8438181818181816,9.105571847507331,2.0,0.6674622526876354
441504000.0,2033.0,86.6560683366825,111.49860544942493,9.973954045374855,104.06850934896774,4134.10465938198,2.0699104772517836,65.88445687473475,120.2433223781098,63.322463338239764,23.04237555057528,38.922873900293254,3.844909090909091,9.149560117302052,2.0,0.6562576547046243
473040000.0,2034.0,86.55962437973041,113.48650386595406,10.084237980277896,104.3615640433742,4166.238298704594,2.1160557712362134,66.88837800875399,121.79191745154912,63.14494768633577,23.177983788796016,39.240469208211145,3.8454545454545452,9.187683284457478,2.0,0.646227539947253
504576000.0,2035.0,86.5774062919782,115.62994487659732,10.195484020354913,104.65494498894947,4200.003997942777,2.1557831951114075,67.77963665707355,123.3541983216555,62.95021601095657,23.296031453535946,39.56304985337243,3.8454545454545452,9.219941348973606,2.0,0.6373719084155214
536112000.0,2036.0,86.7094140734259,117.9289284813547,10.30769216560591,104.94865218569352,4235.401757096527,2.189092748877366,68.55823281969344,124.93016498842893,62.73826831210218,23.396518544795065,39.890615835777126,3.844909090909091,9.24633431085044,2.0,0.6296907601094297
567648000.0,2037.0,86.95564772407347,120.38345468022622,10.420862416030884,105.24268563360634,4272.4315761658445,2.2159844325340883,69.22416649661366,126.5198174518694,62.50910458977259,23.479445062573376,40.22316715542522,3.8438181818181816,9.266862170087975,2.0,0.6231840950289778
599184000.0,2038.0,87.31610724392094,122.99352347321184,10.534994771629837,105.53704533268798,4311.09345515073,2.2364582460815754,69.77743768783421,128.12315571197692,62.2627248439678,23.544811006870876,40.56070381231671,3.842181818181818,9.281524926686217,2.0,0.6178519131741655
630720000.0,2039.0,87.79079263296829,125.7591348603116,10.650089232402767,105.83173128293839,4351.387394051183,2.250514189519826,70.2180463933551,129.74017976875155,61.999129074687815,23.592616377687566,40.903225806451616,3.84,9.29032258064516,2.0,0.6136942145449933
662256000.0,2040.0,88.37970389121554,128.68028884152548,10.766145798349676,106.1267434843576,4393.313392867204,2.258152262848841,70.5459926131763,131.37088962219318,61.718317281932634,23.622861175023452,41.25073313782991,3.837272727272727,9.29325513196481,2.0,0.6107109991414607
693792000.0,2041.0,89.08284101866266,131.75698541685347,10.883164469470561,106.4220819369456,4436.871451598793,2.25937246606862,70.76127634729784,133.01528527230187,61.420289465702254,23.635545398878527,41.60322580645162,3.834,9.29032258064516,2.0,0.6089022669635679
725328000.0,2042.0,89.90020401530968,134.98922458629562,11.001145245765427,106.71774664070237,4482.061570245951,2.254174799179163,70.8638975957197,134.67336671907762,61.105045625996674,23.63066904925279,41.960703812316716,3.830181818181818,9.281524926686217,2.0,0.6082680180113148
756864000.0,2043.0,90.83179288115659,138.37700634985188,11.12008812723427,107.01373759562794,4528.883748808675,2.2425592621804706,70.8538563584419,136.3451339625204,60.77258576281591,23.608232126146248,42.323167155425224,3.825818181818182,9.266862170087975,2.0,0.6088082522847017
788400000.0,2044.0,91.87760761620339,141.92033070752223,11.23999311387709,107.3100548017223,4577.337987286967,2.2245258550725424,70.73115263546443,138.03058700263026,60.42290987615993,23.568234629558898,42.69061583577712,3.820909090909091,9.24633431085044,2.0,0.6105229697837281
819936000.0,2045.0,93.03764822045007,145.61919765930674,11.36086020569389,107.60669825898546,4627.424285680827,2.200074577855378,70.49578642678728,139.72972583940717,60.05601796602876,23.510676559490737,43.06304985337243,3.815454545454545,9.219941348973606,2.0,0.6134121705083945
851472000.0,2046.0,94.31191469389664,149.47360720520538,11.482689402684667,107.9036679674174,4679.142643990255,2.1692054305289776,70.14775773241047,141.44255047285114,59.671910032422396,23.435557915941764,43.44046920821114,3.809454545454545,9.18768328445748,2.0,0.6174758544587007
883008000.0,2047.0,95.7004070365431,153.4835593452181,11.605480704849422,108.20096392701812,4732.4930622152515,2.1319184130933424,69.68706655233396,143.16906090296214,59.27058607534083,23.342878698911985,43.82287390029325,3.8029090909090906,9.149560117302054,2.0,0.6227140216346466
914544000.0,2048.0,97.20312524838945,157.64905407934498,11.729234112188154,108.49858613778764,4787.475540355815,2.088213525548471,69.1137128865578,144.9092571297402,58.85204609478407,23.2326389084014,44.21026392961877,3.7958181818181815,9.105571847507331,2.0,0.6291266720362323
946080000.0,2049.0,98.82006932943568,161.97009140758598,11.853949624700867,108.79653459972594,4844.090078411946,2.0380907678943627,68.42769673508198,146.66313915318534,58.41629009075211,23.10483854441,44.60263929618768,3.788181818181818,9.055718475073315,2.0,0.6367138056634578
977616000.0,2050.0,100.55123927968181,166.4466713299411,11.979627242387556,109.09480931283305,4902.336676383646,1.9815501401310194,67.62901809790648,148.43070697329753,57.963318063244955,22.959477606937792,45.0,3.78,9.0,2.0,0.6454754225163231
