"seconds","year","cef_f_rhc","cef_f_lr","nef_f_rhc","nef_f_lr","ecf_f_rhc","ecf_f_lr","waterway_effective_load_factor","_load_factor_change","load_capacity_rhc","load_capacity_lr","share_rhc","share_lr",,
0,2019,24,24,0.07,0.07,0.07,0.07,0.54,1.0000000000000,1537,3031,0.5,0.5,-11,0
31536000,2020,23.2936283657691,23.2936283657691,0.06793974940016,0.06793974940016,0.069868808317782,0.069868808317782,0.544794721407625,1.0133964276193,1557.59030925086,3071.6045721141,0.5,0.5,-10,1
63072000,2021,22.5898480405225,22.5898480405225,0.065887056784857,0.065887056784857,0.069737812583311,0.069737812583311,0.549721407624633,1.0268048520395,1578.19905758465,3112.2455065316,0.5,0.5,-9,2
94608000,2022,21.8912503332445,21.8912503332445,0.06384948013863,0.06384948013863,0.069607208744335,0.069607208744335,0.554780058651026,1.0402372700613,1598.84468408425,3152.95916555586,0.5,0.5,-8,3
126144000,2023,21.2004265529192,21.2004265529192,0.061834577446014,0.061834577446014,0.0694771927486,0.0694771927486,0.559970674486804,1.0537056784857,1619.54562783258,3193.78191149028,0.5,0.5,-7,4
157680000,2024,20.5199680085311,20.5199680085311,0.059849906691549,0.059849906691549,0.069347960543855,0.069347960543855,0.565293255131965,1.0672220741136,1640.32032791256,3234.75010663823,0.5,0.5,-6,5
189216000,2025,19.8524660090642,19.8524660090642,0.057903025859771,0.057903025859771,0.069219708077846,0.069219708077846,0.57074780058651,1.0807984537457,1661.1872234071,3275.90011330313,0.5,0.5,-5,6
220752000,2026,19.2005118635031,19.2005118635031,0.056001492935217,0.056001492935217,0.069092631298321,0.069092631298321,0.57633431085044,1.0944468141829,1682.16475339909,3317.26829378831,0.5,0.5,-4,7
252288000,2027,18.5666968808318,18.5666968808318,0.054152865902426,0.054152865902426,0.068966926153026,0.068966926153026,0.582052785923754,1.1081791522261,1703.27135697147,3358.89101039722,0.5,0.5,-3,8
283824000,2028,17.9536123700347,17.9536123700347,0.052364702745934,0.052364702745934,0.068842788589709,0.068842788589709,0.587903225806452,1.1220074646761,1724.52547320715,3400.80462543323,0.5,0.5,-2,9
315360000,2029,17.363849640096,17.363849640096,0.05064456145028,0.05064456145028,0.068720414556118,0.068720414556118,0.593885630498534,1.1359437483338,1745.94554118902,3443.04550119969,0.5,0.5,-1,10
346896000,2030,16.8,16.8,0.049,0.049,0.0686,0.0686,0.6,1.1500000000000,1767.55,3485.65,0.5,0.5,0,11
378432000,2031,16.2639853372434,16.2639853372434,0.047436623900293,0.047436623900293,0.068481690249267,0.068481690249267,0.606246334310851,1.1641851173021,1789.35252529325,3528.64509054251,0.5,0.5,1,
409968000,2032,15.7550498533724,15.7550498533724,0.045952228739003,0.045952228739003,0.068365428152493,0.068365428152493,0.612624633431085,1.1784956011730,1811.34773900293,3572.02016715542,0.5,0.5,2,
441504000,2033,15.2717683284457,15.2717683284457,0.044542657624633,0.044542657624633,0.068251105938416,0.068251105938416,0.619134897360704,1.1929248533724,1833.52549963342,3615.75523057183,0.5,0.5,3,
473040000,2034,14.812715542522,14.812715542522,0.043203753665689,0.043203753665689,0.068138615835777,0.068138615835777,0.625777126099707,1.2074662756598,1855.87566568914,3659.83028152491,0.5,0.5,4,
504576000,2035,14.3764662756598,14.3764662756598,0.041931359970675,0.041931359970675,0.068027850073314,0.068027850073314,0.632551319648094,1.2221132697947,1878.38809567448,3704.2253207478,0.5,0.5,5,
536112000,2036,13.9615953079179,13.9615953079179,0.040721319648094,0.040721319648094,0.067918700879765,0.067918700879765,0.639457478005865,1.2368592375367,1901.05264809385,3748.92034897362,0.5,0.5,6,
567648000,2037,13.5666774193548,13.5666774193548,0.039569475806452,0.039569475806452,0.067811060483871,0.067811060483871,0.646495601173021,1.2516975806452,1923.85918145161,3793.89536693548,0.5,0.5,7,
599184000,2038,13.1902873900293,13.1902873900293,0.038471671554252,0.038471671554252,0.06770482111437,0.06770482111437,0.65366568914956,1.2666217008798,1946.79755425221,3839.13037536658,0.5,0.5,8,
630720000,2039,12.831,12.831,0.03742375,0.03742375,0.067599875,0.067599875,0.660967741935484,1.2816250000000,1969.857625,3884.605375,0.5,0.5,9,
662256000,2040,12.4873900293255,12.4873900293255,0.036421554252199,0.036421554252199,0.067496114369502,0.067496114369502,0.668401759530792,1.2967008797654,1993.02925219942,3930.30036656893,0.5,0.5,10,
693792000,2041,12.1580322580645,12.1580322580645,0.035460927419355,0.035460927419355,0.067393431451613,0.067393431451613,0.675967741935484,1.3118427419355,2016.30229435483,3976.19535080644,0.5,0.5,11,
725328000,2042,11.8415014662757,11.8415014662757,0.034537712609971,0.034537712609971,0.067291718475073,0.067291718475073,0.68366568914956,1.3270439882698,2039.66660997067,4022.27032844573,0.5,0.5,12,
756864000,2043,11.5363724340176,11.5363724340176,0.033647752932551,0.033647752932551,0.067190867668622,0.067190867668622,0.691495601173021,1.3422980205279,2063.11205755132,4068.50530021994,0.5,0.5,13,
788400000,2044,11.241219941349,11.241219941349,0.032786891495601,0.032786891495601,0.067090771260997,0.067090771260997,0.699457478005865,1.3575982404692,2086.62849560118,4114.88026686218,0.5,0.5,14,
819936000,2045,10.9546187683284,10.9546187683284,0.031950971407625,0.031950971407625,0.066991321480938,0.066991321480938,0.707551319648094,1.3729380498534,2110.20578262463,4161.37522910556,0.5,0.5,15,
851472000,2046,10.6751436950147,10.6751436950147,0.031135835777126,0.031135835777126,0.066892410557185,0.066892410557185,0.715777126099707,1.3883108504399,2133.8337771261,4207.97018768328,0.5,0.5,16,
883008000,2047,10.4013695014663,10.4013695014663,0.03033732771261,0.03033732771261,0.066793930718475,0.066793930718475,0.724134897360704,1.4037100439883,2157.50233760997,4254.64514332845,0.5,0.5,17,
914544000,2048,10.1318709677419,10.1318709677419,0.029551290322581,0.029551290322581,0.066695774193548,0.066695774193548,0.732624633431085,1.4191290322581,2181.20132258064,4301.38009677418,0.5,0.5,18,
946080000,2049,9.86522287390029,9.86522287390029,0.028773566715543,0.028773566715543,0.066597833211144,0.066597833211144,0.74124633431085,1.4345612170088,2204.92059054253,4348.15504875367,0.5,0.5,19,
977616000,2050,9.6,9.6,0.028,0.028,0.0665,0.0665,0.75,1.4500000000000,2228.65,4394.95,0.5,0.5,20,
