"seconds","year","cef_f_train_medium_length","nef_f_train_medium_length","ecf_f_train_medium_length","share_train_medium_length","rail_effective_load_factor","_load_factor_change","load_capacity_train_medium_length","share_train_medium_length","cef_p_ic","cef_p_st","nef_p_ic","nef_p_st","ecf_p_ic","ecf_p_st","share_ic","share_st","passenger_train_capacity"
0,2019,9.6,0.01,0.071,1,0.51,1,1940,1,10,12,0.13,0.17,0.069,0.104,0.75,0.25,300
31536000,2020,9.10530951746201,0.009657504665423,0.070017621967475,1,0.516515595841109,1.013396427619,1965.98906958144,1,9.48469741402293,11.3816368968275,0.125547560650493,0.164177579312183,0.06804529458811,0.102561023727006,0.75,0.25,302.515449213543
63072000,2021,8.61309901359637,0.009316225006665,0.069035953745668,1,0.523023593708344,1.026804852039,1992.00141295655,1,8.97197813916289,10.7663737669955,0.121110925086644,0.158375825113303,0.067091278992269,0.101123087176753,0.75,0.25,305.063307784591
94608000,2022,8.12584846707545,0.008977376699547,0.068055705145295,1,0.529516395627833,1.040237270061,2018.06030391896,1,8.46442548653692,10.1573105838443,0.116705897094108,0.152615403892295,0.066138643028526,0.099687230071981,0.75,0.25,307.675985070648
126144000,2023,7.64603785657158,0.008642175419888,0.067077585977073,1,0.5359864036257,1.053705678486,2044.18901626234,1,7.96462276726206,9.55754732071448,0.112348280458544,0.146916982138097,0.06518807651293,0.098254492135431,0.75,0.25,310.385890429219
157680000,2024,7.17614716075713,0.008311836843508,0.06610230605172,1,0.542426019728072,1.067222074114,2070.41082378033,1,7.47515329245535,8.97018395094641,0.108053878965609,0.141301226339643,0.06424026926153,0.096825913089843,0.75,0.25,313.225433217809
189216000,2025,6.71865635830445,0.007987576646228,0.065130575179952,1,0.548827645961077,1.080798453746,2096.7490002666,1,6.9986003732338,8.39832044788056,0.10383849640096,0.13578880298587,0.063295911090376,0.095402532657958,0.75,0.25,316.227022793922
220752000,2026,6.2760454278859,0.007670610503866,0.064163103172487,1,0.55518368435084,1.094446814183,2123.22681951479,1,6.53754732071448,7.84505678485737,0.099717936550253,0.130400378565716,0.062355691815516,0.093985390562517,0.75,0.25,319.423068515063
252288000,2027,5.85079434817382,0.007362154092242,0.063200599840043,1,0.561486536923487,1.108179152226,2149.86755531858,1,6.0945774460144,7.31349293521728,0.095708003199147,0.125156619568115,0.061420301252999,0.09257552652626,0.75,0.25,322.845979738736
283824000,2028,5.44538309784058,0.007063423087177,0.062243774993335,1,0.567728605705145,1.122007464676,2176.69448147161,1,5.6722740602506,6.80672887230072,0.091824500133298,0.120078192482005,0.060490429218875,0.091173980271928,0.75,0.25,326.528165822447
315360000,2029,5.06229165555852,0.006775633164489,0.061293338443082,1,0.573902292721941,1.135943748334,2203.73087176753,1,5.27322047454012,6.32786456944815,0.088083231138363,0.115185763796321,0.059566765529192,0.089781791522261,0.75,0.25,330.5020361237
346896000,2030,4.704,0.0065,0.06035,1,0.58,1.15,2231,1,4.9,5.88,0.0845,0.1105,0.05865,0.0884,0.75,0.25,334.8
378432000,2031,4.37234744868035,0.006237425219941,0.059414286107038,1,0.586016092375366,1.164185117302,2258.51912756598,1,4.55452859237537,5.46543431085044,0.081086527859238,0.106036228739003,0.057740644244868,0.087029376832845,0.75,0.25,339.446094391496
409968000,2032,4.0666106744868,0.005987554252199,0.05848598973607,1,0.591952785923754,1.178495601173,2286.28146627566,1,4.23605278592375,5.0832633431085,0.077838205278592,0.10178842228739,0.056838497067449,0.085669618768328,0.75,0.25,344.430866568915
441504000,2033,3.78542568914956,0.005749718475073,0.057564720491202,1,0.597814259530792,1.192924853372,2314.27421554251,1,3.94315175953079,4.73178211143695,0.074746340175953,0.097745214076246,0.055943179068915,0.084320153958944,0.75,0.25,349.73649138563
473040000,2034,3.52742850439883,0.005523249266862,0.05665008797654,1,0.603604692082111,1.20746627566,2342.48457478005,1,3.67440469208211,4.40928563049853,0.071802240469208,0.093895237536657,0.05505431085044,0.082980410557185,0.75,0.25,355.345143695015
504576000,2035,3.29125513196481,0.005307478005865,0.055741701796188,1,0.609328262463343,1.222113269795,2370.89974340176,1,3.42839076246334,4.11406891495601,0.068997214076246,0.090227126099707,0.054171513013197,0.081649816715543,0.75,0.25,361.23899835044
536112000,2036,3.07554158357771,0.005101736070381,0.054839171554252,1,0.614989149560117,1.236859237537,2399.50692082112,1,3.20368914956012,3.84442697947214,0.066322568914956,0.086729513196481,0.053294406158358,0.08032780058651,0.75,0.25,367.400230205279
567648000,2037,2.87892387096774,0.00490535483871,0.053942106854839,1,0.620591532258064,1.251697580645,2428.29330645161,1,2.99887903225807,3.59865483870968,0.063769612903226,0.083391032258065,0.052422610887097,0.079013790322581,0.75,0.25,373.811014112903
599184000,2038,2.7000380058651,0.00471766568915,0.053050117302053,1,0.626139589442815,1.26662170088,2457.24609970675,1,2.81253958944282,3.37504750733138,0.061329653958944,0.080200316715543,0.051555747800587,0.077707214076246,0.75,0.25,380.453524926686
630720000,2039,2.53752,0.004538,0.0521628125,1,0.6316375,1.281625,2486.3525,1,2.64325,3.1719,0.058994,0.077146,0.0506934375,0.0764075,0.75,0.25,387.3099375
662256000,2040,2.39000586510264,0.00436568914956,0.051279802052786,1,0.637089442815249,1.296700879765,2515.59970674488,1,2.48958944281525,2.9875073313783,0.056753958944282,0.074216715542522,0.04983530058651,0.075114076246334,0.75,0.25,394.362426686217
693792000,2041,2.25613161290323,0.004200064516129,0.050400695564516,1,0.642499596774194,1.311842741935,2544.97491935483,1,2.35013709677419,2.82016451612903,0.054600838709677,0.071401096774194,0.04898095766129,0.073826370967742,0.75,0.25,401.59316733871
725328000,2042,2.13453325513197,0.004040457478006,0.049525102639296,1,0.647872140762463,1.32704398827,2574.46533724339,1,2.22347214076246,2.66816656891496,0.052525947214076,0.0686877771261,0.048130029325513,0.072543812316716,0.75,0.25,408.98433431085
756864000,2043,2.02384680351906,0.00388619941349,0.048652632881232,1,0.653211253665689,1.342298020528,2604.05815982405,1,2.10817375366569,2.52980850439883,0.050520592375367,0.066065390029326,0.047282136180352,0.071265828445748,0.75,0.25,416.518102456012
788400000,2044,1.92270826979472,0.00373662170088,0.047782895894428,1,0.658521114369501,1.357598240469,2633.74058651027,1,2.0028211143695,2.4033853372434,0.048576082111437,0.063522568914956,0.04643689882698,0.069991847507331,0.75,0.25,424.176646627566
819936000,2045,1.82975366568915,0.003591055718475,0.046915501282991,1,0.663805901759531,1.372938049853,2663.49981671554,1,1.90599340175953,2.28719208211144,0.046683724340176,0.061047947214076,0.045593937866569,0.068721297653959,0.75,0.25,431.942141678886
851472000,2046,1.74361900293255,0.003448832844575,0.046050058651026,1,0.669069794721408,1.38831085044,2693.32304985337,1,1.81626979472141,2.17952375366569,0.044834826979472,0.058630158357771,0.044752873900293,0.067453607038123,0.75,0.25,439.796762463343
883008000,2047,1.66294029325513,0.003309284457478,0.045186177602639,1,0.674316972140762,1.403710043988,2723.19748533724,1,1.73222947214076,2.07867536656891,0.043020697947214,0.056257835777126,0.043913327529326,0.066188203812317,0.75,0.25,447.722683834311
914544000,2048,1.5863535483871,0.003171741935484,0.044323467741936,1,0.679551612903226,1.419129032258,2753.11032258064,1,1.65245161290323,1.98294193548387,0.04123264516129,0.053919612903226,0.043074919354839,0.064924516129032,0.75,0.25,455.702080645161
946080000,2049,1.51249478005865,0.003035536656892,0.043461538673021,1,0.684777895894428,1.434561217009,2783.04876099707,1,1.57551539589443,1.89061847507331,0.039461976539589,0.051604123167155,0.042237269978006,0.063661972140763,0.75,0.25,463.717127749267
977616000,2050,1.44,0.0029,0.0426,1,0.69,1.45,2813,1,1.5,1.8,0.0377,0.0493,0.0414,0.0624,0.75,0.25,471.75
