"seconds","year","cef_f_rhc","cef_f_lr","nef_f_rhc","nef_f_lr","ecf_f_rhc","ecf_f_lr","waterway_effective_load_factor","_load_factor_change","load_capacity_rhc","load_capacity_lr","share_rhc","share_lr"
0,2019,28,28,0.17,0.17,0.152,0.152,0.54,1,1537,3031,0.5,0.5
31536000,2020,26.5571527592642,26.5571527592642,0.164177579312183,0.164177579312183,0.149896880831778,0.149896880831778,0.544794721407625,1.0133964276193,1557.59030925086,3071.6045721141,0.5,0.5
63072000,2021,25.1215387896561,25.1215387896561,0.158375825113303,0.158375825113303,0.147795281258331,0.147795281258331,0.549721407624633,1.0268048520395,1578.19905758465,3112.2455065316,0.5,0.5
94608000,2022,23.7003913623034,23.7003913623034,0.152615403892295,0.152615403892295,0.145696720874433,0.145696720874433,0.554780058651026,1.0402372700613,1598.84468408425,3152.95916555586,0.5,0.5
126144000,2023,22.3009437483338,22.3009437483338,0.146916982138097,0.146916982138097,0.14360271927486,0.14360271927486,0.559970674486804,1.0537056784857,1619.54562783258,3193.78191149028,0.5,0.5
157680000,2024,20.930429218875,20.930429218875,0.141301226339643,0.141301226339643,0.141514796054385,0.141514796054385,0.565293255131965,1.0672220741136,1640.32032791256,3234.75010663823,0.5,0.5
189216000,2025,19.5960810450547,19.5960810450547,0.13578880298587,0.13578880298587,0.139434470807785,0.139434470807785,0.57074780058651,1.0807984537457,1661.1872234071,3275.90011330313,0.5,0.5
220752000,2026,18.3051324980005,18.3051324980005,0.130400378565716,0.130400378565716,0.137363263129832,0.137363263129832,0.57633431085044,1.0944468141829,1682.16475339909,3317.26829378831,0.5,0.5
252288000,2027,17.0648168488403,17.0648168488403,0.125156619568115,0.125156619568115,0.135302692615303,0.135302692615303,0.582052785923754,1.1081791522261,1703.27135697147,3358.89101039722,0.5,0.5
283824000,2028,15.8823673687017,15.8823673687017,0.120078192482005,0.120078192482005,0.133254278858971,0.133254278858971,0.587903225806452,1.1220074646761,1724.52547320715,3400.80462543323,0.5,0.5
315360000,2029,14.7650173287123,14.7650173287123,0.115185763796321,0.115185763796321,0.131219541455612,0.131219541455612,0.593885630498534,1.1359437483338,1745.94554118902,3443.04550119969,0.5,0.5
346896000,2030,13.72,13.72,0.1105,0.1105,0.1292,0.1292,0.6,1.15,1767.55,3485.65,0.5,0.5
378432000,2031,12.752680058651,12.752680058651,0.106036228739003,0.106036228739003,0.127196781524927,0.127196781524927,0.606246334310851,1.1641851173021,1789.35252529325,3528.64509054251,0.5,0.5
409968000,2032,11.8609478005865,11.8609478005865,0.10178842228739,0.10178842228739,0.125209442815249,0.125209442815249,0.612624633431085,1.178495601173,1811.34773900293,3572.02016715542,0.5,0.5
441504000,2033,11.0408249266862,11.0408249266862,0.097745214076246,0.097745214076246,0.123237148093842,0.123237148093842,0.619134897360704,1.1929248533724,1833.52549963342,3615.75523057183,0.5,0.5
473040000,2034,10.2883331378299,10.2883331378299,0.093895237536657,0.093895237536657,0.121279061583578,0.121279061583578,0.625777126099707,1.2074662756598,1855.87566568914,3659.83028152491,0.5,0.5
504576000,2035,9.59949413489736,9.59949413489736,0.090227126099707,0.090227126099707,0.119334347507331,0.119334347507331,0.632551319648094,1.2221132697947,1878.38809567448,3704.2253207478,0.5,0.5
536112000,2036,8.97032961876833,8.97032961876833,0.086729513196481,0.086729513196481,0.117402170087977,0.117402170087977,0.639457478005865,1.2368592375367,1901.05264809385,3748.92034897362,0.5,0.5
567648000,2037,8.39686129032258,8.39686129032258,0.083391032258065,0.083391032258065,0.115481693548387,0.115481693548387,0.646495601173021,1.2516975806452,1923.85918145161,3793.89536693548,0.5,0.5
599184000,2038,7.87511085043988,7.87511085043988,0.080200316715543,0.080200316715543,0.113572082111437,0.113572082111437,0.65366568914956,1.2666217008798,1946.79755425221,3839.13037536658,0.5,0.5
630720000,2039,7.4011,7.4011,0.077146,0.077146,0.1116725,0.1116725,0.660967741935484,1.281625,1969.857625,3884.605375,0.5,0.5
662256000,2040,6.9708504398827,6.9708504398827,0.074216715542522,0.074216715542522,0.10978211143695,0.10978211143695,0.668401759530792,1.2967008797654,1993.02925219942,3930.30036656893,0.5,0.5
693792000,2041,6.58038387096774,6.58038387096774,0.071401096774194,0.071401096774194,0.107900080645161,0.107900080645161,0.675967741935484,1.3118427419355,2016.30229435483,3976.19535080644,0.5,0.5
725328000,2042,6.2257219941349,6.2257219941349,0.0686877771261,0.0686877771261,0.106025571847507,0.106025571847507,0.68366568914956,1.3270439882698,2039.66660997067,4022.27032844573,0.5,0.5
756864000,2043,5.90288651026393,5.90288651026393,0.066065390029326,0.066065390029326,0.104157749266862,0.104157749266862,0.691495601173021,1.3422980205279,2063.11205755132,4068.50530021994,0.5,0.5
788400000,2044,5.6078991202346,5.6078991202346,0.063522568914956,0.063522568914956,0.1022957771261,0.1022957771261,0.699457478005865,1.3575982404692,2086.62849560118,4114.88026686218,0.5,0.5
