"seconds","year","cef_f_rhc","cef_f_lr","nef_f_rhc","nef_f_lr","ecf_f_rhc","ecf_f_lr","waterway_effective_load_factor","_load_factor_change","load_capacity_rhc","load_capacity_lr","share_rhc","share_lr"
0,2019,45,28,0.475,0.24,0.333,0.23,0.54,1.0000000000000,1537,3031,0.5,0.5
31536000,2020,43.8521460943748,27.2857797920555,0.449215009330845,0.226971794188216,0.328128842975207,0.226635537190083,0.544794721407625,1.0133964276193,1557.59030925086,3071.6045721141,0.5,0.5
63072000,2021,42.7085030658491,26.5741796854172,0.42357495001333,0.21401681684884,0.323274198347108,0.223282479338843,0.549721407624633,1.0268048520395,1578.19905758465,3112.2455065316,0.5,0.5
94608000,2022,41.5732817915223,25.8678197813916,0.398224753399094,0.201208296454279,0.318452578512397,0.219952231404959,0.554780058651026,1.0402372700613,1598.84468408425,3152.95916555586,0.5,0.5
126144000,2023,40.4506931484937,25.169320181285,0.373309350839776,0.188619461476939,0.313680495867769,0.216656198347107,0.559970674486804,1.0537056784857,1619.54562783258,3193.78191149028,0.5,0.5
157680000,2024,39.344948013863,24.4813009864036,0.348973673687017,0.17632354038923,0.308974462809917,0.213405785123967,0.565293255131965,1.0672220741136,1640.32032791256,3234.75010663823,0.5,0.5
189216000,2025,38.2602572647294,23.8063822980539,0.325362653292455,0.164393761663556,0.304350991735537,0.210212396694215,0.57074780058651,1.0807984537457,1661.1872234071,3275.90011330313,0.5,0.5
220752000,2026,37.2008317781925,23.147184217542,0.302621221007731,0.152903353772327,0.299826595041322,0.207087438016529,0.57633431085044,1.0944468141829,1682.16475339909,3317.26829378831,0.5,0.5
252288000,2027,36.1708824313516,22.5063268461744,0.280894308184484,0.14192554518795,0.295417785123967,0.204042314049587,0.582052785923754,1.1081791522261,1703.27135697147,3358.89101039722,0.5,0.5
283824000,2028,35.1746201013063,21.8864302852573,0.260326846174353,0.131533564382831,0.291141074380165,0.201088429752066,0.587903225806452,1.1220074646761,1724.52547320715,3400.80462543323,0.5,0.5
315360000,2029,34.216255665156,21.290114636097,0.241063766328979,0.121800639829379,0.287012975206612,0.198237190082645,0.593885630498534,1.1359437483338,1745.94554118902,3443.04550119969,0.5,0.5
346896000,2030,33.3,20.72,0.22325,0.1128,0.28305,0.1955,0.6,1.1500000000000,1767.55,3485.65,0.5,0.5
378432000,2031,32.4289761730205,20.1780296187683,0.206993037939883,0.10458595601173,0.279264395454545,0.192885318181818,0.606246334310851,1.1641851173021,1789.35252529325,3528.64509054251,0.5,0.5
409968000,2032,31.6019560117302,19.6634392961877,0.192250608504399,0.097137149560117,0.275651345454546,0.190389818181818,0.612624633431085,1.1784956011730,1811.34773900293,3572.02016715542,0.5,0.5
441504000,2033,30.8166235337243,19.1747879765396,0.178942999450147,0.090413304985337,0.272201768181818,0.188007227272727,0.619134897360704,1.1929248533724,1833.52549963342,3615.75523057183,0.5,0.5
473040000,2034,30.0706627565982,18.7106346041056,0.166990498533724,0.084374146627566,0.268906581818182,0.185731272727273,0.625777126099707,1.2074662756598,1855.87566568914,3659.83028152491,0.5,0.5
504576000,2035,29.3617576979472,18.2695381231672,0.15631339351173,0.078979398826979,0.265756704545455,0.183555681818182,0.632551319648094,1.2221132697947,1878.38809567448,3704.2253207478,0.5,0.5
536112000,2036,28.6875923753666,17.8500574780059,0.146831972140762,0.074188785923754,0.262743054545455,0.181474181818182,0.639457478005865,1.2368592375367,1901.05264809385,3748.92034897362,0.5,0.5
567648000,2037,28.0458508064516,17.4507516129032,0.138466522177419,0.069962032258065,0.25985655,0.1794805,0.646495601173021,1.2516975806452,1923.85918145161,3793.89536693548,0.5,0.5
599184000,2038,27.4342170087976,17.0701794721408,0.131137331378299,0.066258862170088,0.257088109090909,0.177568363636364,0.65366568914956,1.2666217008798,1946.79755425221,3839.13037536658,0.5,0.5
630720000,2039,26.850375,16.7069,0.1247646875,0.063039,0.25442865,0.1757315,0.660967741935484,1.2816250000000,1969.857625,3884.605375,0.5,0.5
