"seconds","_year","cef_f_truck_medium","cef_f_tractor_light","cef_f_tractor_heavy","nef_f_truck_medium","nef_f_tractor_light","nef_f_tractor_heavy","ecf_f_truck_medium","ecf_f_tractor_light","ecf_f_tractor_heavy","road_effective_load_factor","_load_factor_change","load_capacity_truck_medium","load_capacity_tractor_light","load_capacity_tractor_heavy","share_truck_medium","share_tractor_light","share_tractor_heavy","cef_p_passenger_car","nef_p_passenger_car","ecf_p_passenger_car","share_passenger_car","load_capacity_passenger_car"
0,2019,256,178,104.5,1.4,0.53,0.26,2.2,1.8,0.8,0.42,1.0000000000000,7.5,15.7,29.2,0.25,0.48,0.27,-1,-1,-1,0,1
31536000,2020,249.07073313783,173.181994134897,101.671451612903,1.31585579603015,0.498145408497128,0.244373219262742,2.166,1.77218181818182,0.787636363636364,0.426319648093842,1.0133964276193,7.60047320714475,15.910323913623,29.5911756864836,0.25,0.48,0.27,-1,-1,-1,0,1
63072000,2021,242.317137829912,168.486134897361,98.9146129032258,1.23320110031264,0.466854702261215,0.229023061486634,2.1328,1.74501818181818,0.775563636363636,0.432648093841642,1.0268048520395,7.70103639029595,16.1208361770195,29.9827016795522,0.25,0.48,0.27,-1,-1,-1,0,1
94608000,2022,235.739214076246,163.91242228739,96.2294838709677,1.15265205399772,0.436361134727709,0.214063952885291,2.1004,1.71850909090909,0.763781818181818,0.438985337243402,1.0402372700613,7.8017795254599,16.3317251399627,30.3749282857905,0.25,0.48,0.27,-1,-1,-1,0,1
126144000,2023,229.336961876833,159.460856304985,93.616064516129,1.07482479823562,0.406897959332057,0.19961031967233,2.0688,1.69265454545455,0.752290909090909,0.44533137829912,1.0537056784857,7.90279258864305,16.5431791522261,30.7682058117836,0.25,0.48,0.27,-1,-1,-1,0,1
157680000,2024,223.110381231672,155.131436950147,91.0743548387097,1.00033547417658,0.378698429509707,0.185776588061365,2.038,1.66745454545455,0.741090909090909,0.451686217008798,1.0672220741136,8.00416555585178,16.755386563583,31.1628845641162,0.25,0.48,0.27,-1,-1,-1,0,1
189216000,2025,217.059472140762,150.924164222874,88.6043548387097,0.929800222970844,0.351995798696105,0.172677184266014,2.008,1.64290909090909,0.730181818181818,0.458049853372434,1.0807984537457,8.10598840309252,16.968535723807,31.5593148493736,0.25,0.48,0.27,-1,-1,-1,0,1
220752000,2026,211.184234604106,146.839038123167,86.206064516129,0.863835185768643,0.327023320326701,0.160426534499891,1.9788,1.61901818181818,0.719563636363637,0.464422287390029,1.0944468141829,8.2083511063716,17.1828149826712,31.9578469741401,0.25,0.48,0.27,-1,-1,-1,0,1
252288000,2027,205.484668621701,142.876058651026,83.8794838709677,0.80305650372022,0.30401424783694,0.149139064976612,1.9504,1.59578181818182,0.709236363636364,0.470803519061584,1.1081791522261,8.31134364169552,17.3984126899493,32.3588312450012,0.25,0.48,0.27,-1,-1,-1,0,1
283824000,2028,199.960774193548,139.035225806452,81.6246129032258,0.748080317975812,0.283201834662272,0.138929201909794,1.9228,1.5732,0.6992,0.477193548387097,1.1220074646761,8.41505598507067,17.6155171954146,32.7626179685418,0.25,0.48,0.27,-1,-1,-1,0,1
315360000,2029,194.612551319648,135.316539589443,79.4414516129032,0.699522769685659,0.264819334238143,0.129911371513051,1.896,1.55127272727273,0.689454545454546,0.483592375366569,1.1359437483338,8.51957811250335,17.8343168488403,33.1695574513464,0.25,0.48,0.27,-1,-1,-1,0,1
346896000,2030,189.44,131.72,77.33,0.658,0.2491,0.1222,1.87,1.53,0.68,0.49,1.1500000000000,8.625,18.055,33.58,0.25,0.48,0.27,-1,-1,-1,0,1
378432000,2031,184.443120234604,128.245607038123,75.2902580645161,0.621145,0.23514775,0.1153555,1.8448,1.50938181818182,0.670836363636364,0.49641642228739,1.1641851173021,8.73138837976538,18.2777063416422,33.9942054252199,0.25,0.48,0.27,-1,-1,-1,0,1
409968000,2032,179.62191202346,124.893360703812,73.3222258064516,0.58618,0.221911,0.108862,1.8204,1.48941818181818,0.661963636363636,0.502841642228739,1.1784956011730,8.83871700879765,18.5023809384164,34.4120715542522,0.25,0.48,0.27,-1,-1,-1,0,1
441504000,2033,174.976375366569,121.663260997067,71.4259032258065,0.553105,0.20938975,0.1027195,1.7968,1.47010909090909,0.653381818181818,0.509275659824047,1.1929248533724,8.94693640029323,18.7289201979472,34.8334057184749,0.25,0.48,0.27,-1,-1,-1,0,1
473040000,2034,170.50651026393,118.555307917889,69.6012903225806,0.52192,0.197584,0.096928,1.774,1.45145454545455,0.645090909090909,0.515718475073314,1.2074662756598,9.05599706744865,18.9572205278592,35.2580152492667,0.25,0.48,0.27,-1,-1,-1,0,1
504576000,2035,166.212316715542,115.569501466276,67.8483870967742,0.492625,0.18649375,0.0914875,1.752,1.43345454545455,0.637090909090909,0.52217008797654,1.2221132697947,9.1658495234604,19.1871783357771,35.6857074780058,0.25,0.48,0.27,-1,-1,-1,0,1
536112000,2036,162.093794721408,112.705841642229,66.1671935483871,0.46522,0.176119,0.086398,1.7308,1.41610909090909,0.629381818181818,0.528630498533724,1.2368592375367,9.27644428152495,19.4186900293256,36.1162897360705,0.25,0.48,0.27,-1,-1,-1,0,1
567648000,2037,158.150944281525,109.964328445748,64.5577096774194,0.439705,0.16645975,0.0816595,1.7104,1.39941818181818,0.621963636363636,0.535099706744868,1.2516975806452,9.3877318548387,19.651652016129,36.5495693548387,0.25,0.48,0.27,-1,-1,-1,0,1
599184000,2038,154.383765395894,107.344961876833,63.019935483871,0.41608,0.157516,0.077272,1.6908,1.38338181818182,0.614836363636364,0.541577712609971,1.2666217008798,9.49966275659827,19.8859607038124,36.9853536656893,0.25,0.48,0.27,-1,-1,-1,0,1
630720000,2039,150.792258064516,104.847741935484,61.5538709677419,0.394345,0.14928775,0.0732355,1.672,1.368,0.608,0.548064516129032,1.2816250000000,9.6121875,20.1215125,37.42345,0.25,0.48,0.27,-1,-1,-1,0,1
662256000,2040,147.37642228739,102.472668621701,60.1595161290323,0.3745,0.141775,0.06955,1.654,1.35327272727273,0.601454545454545,0.554560117302053,1.2967008797654,9.7252565982405,20.3582038123168,37.8636656891497,0.25,0.48,0.27,-1,-1,-1,0,1
693792000,2041,144.136258064516,100.219741935484,58.8368709677419,0.356545,0.13497775,0.0662155,1.6368,1.3392,0.5952,0.561064516129032,1.3118427419355,9.8388205645161,20.595931048387,38.305808064516,0.25,0.48,0.27,-1,-1,-1,0,1
725328000,2042,141.071765395894,98.0889618768328,57.585935483871,0.34048,0.128896,0.063232,1.6204,1.32578181818182,0.589236363636364,0.567577712609971,1.3270439882698,9.95282991202343,20.8345906158357,38.7496844574779,0.25,0.48,0.27,-1,-1,-1,0,1
756864000,2043,138.182944281525,96.0803284457478,56.4067096774194,0.326305,0.12352975,0.0605995,1.6048,1.31301818181818,0.583563636363636,0.574099706744868,1.3422980205279,10.067235153959,21.0740789222874,39.1951021994135,0.25,0.48,0.27,-1,-1,-1,0,1
788400000,2044,135.469794721408,94.1938416422287,55.2991935483871,0.31402,0.118879,0.058318,1.59,1.30090909090909,0.578181818181818,0.580630498533724,1.3575982404692,10.1819868035191,21.3142923753666,39.6418686217009,0.25,0.48,0.27,-1,-1,-1,0,1
819936000,2045,132.932316715543,92.4295014662757,54.2633870967742,0.303625,0.11494375,0.0563875,1.576,1.28945454545455,0.573090909090909,0.58717008797654,1.3729380498534,10.2970353739003,21.5551273826979,40.0897910557184,0.25,0.48,0.27,-1,-1,-1,0,1
851472000,2046,130.57051026393,90.7873079178886,53.2992903225806,0.29512,0.111724,0.054808,1.5628,1.27865454545455,0.568290909090909,0.593718475073314,1.3883108504399,10.4123313782991,21.7964803519061,40.5386768328445,0.25,0.48,0.27,-1,-1,-1,0,1
883008000,2047,128.384375366569,89.2672609970675,52.4069032258064,0.288505,0.10921975,0.0535795,1.5504,1.26850909090909,0.563781818181818,0.600275659824047,1.4037100439883,10.527825329912,22.0382476906158,40.9883332844575,0.25,0.48,0.27,-1,-1,-1,0,1
914544000,2048,126.37391202346,87.8693607038123,51.5862258064516,0.28378,0.107431,0.052702,1.5388,1.25901818181818,0.559563636363636,0.606841642228739,1.4191290322581,10.6434677419355,22.2803258064515,41.4385677419354,0.25,0.48,0.27,-1,-1,-1,0,1
946080000,2049,124.539120234604,86.5936070381232,50.8372580645161,0.280945,0.10635775,0.0521755,1.528,1.25018181818182,0.555636363636364,0.61341642228739,1.4345612170088,10.759209127566,22.5226111070382,41.889187536657,0.25,0.48,0.27,-1,-1,-1,0,1
977616000,2050,122.88,85.44,50.16,0.28,0.106,0.052,1.518,1.242,0.552,0.62,1.4500000000000,10.875,22.765,42.34,0.25,0.48,0.27,-1,-1,-1,0,1
