"seconds","year","cef_f_train_medium_length","nef_f_train_medium_length","ecf_f_train_medium_length","share_train_medium_length","rail_effective_load_factor","_load_factor_change","load_capacity_train_medium_length","cef_p_ic","cef_p_st","nef_p_ic","nef_p_st","ecf_p_ic","ecf_p_st","share_ic","share_st","passenger_train_capacity"
0,2019,5.25,0.0039,0.039,1,0.51,1,1940,5.11,5.11,0.0065,0.0065,0.035,0.035,0.75,0.25,300
31536000,2020,5.095481205012,0.003785214609437,0.038926907491336,1,0.516642228739003,1.013396427619,1965.98906958144,4.95960170621168,4.95960170621168,0.006308691015729,0.006308691015729,0.034934404158891,0.034934404158891,0.75,0.25,302.515449213543
63072000,2021,4.9415292588643,0.003670850306585,0.038853924153559,1,0.523228739002933,1.026804852039,1992.00141295655,4.80975514529459,4.80975514529459,0.006118083844308,0.006118083844308,0.034868906291656,0.034868906291656,0.75,0.25,305.063307784591
94608000,2022,4.78871101039723,0.003557328179152,0.038781159157558,1,0.529759530791789,1.040237270061,2018.06030391896,4.66101205011997,4.66101205011997,0.005928880298587,0.005928880298587,0.034803604372167,0.034803604372167,0.75,0.25,307.675985070648
126144000,2023,4.63759330845108,0.003445069314849,0.03870872167422,1,0.536234604105572,1.053705678486,2044.18901626234,4.51392415355905,4.51392415355905,0.005741782191416,0.005741782191416,0.0347385963743,0.0347385963743,0.75,0.25,310.385890429219
157680000,2024,4.48874300186617,0.003334494801386,0.038636720874434,1,0.542653958944281,1.067222074114,2070.41082378033,4.36904318848307,4.36904318848307,0.005557491335644,0.005557491335644,0.034673980271928,0.034673980271928,0.75,0.25,313.225433217809
189216000,2025,4.3427269394828,0.003226025726473,0.038565265929086,1,0.549017595307918,1.080798453746,2096.7490002666,4.22692088776326,4.22692088776326,0.005376709544122,0.005376709544122,0.034609854038923,0.034609854038923,0.75,0.25,316.227022793922
220752000,2026,4.2001119701413,0.003120083177819,0.038494466009064,1,0.555325513196481,1.094446814183,2123.22681951479,4.08810898427086,4.08810898427086,0.005200138629699,0.005200138629699,0.03454631564916,0.03454631564916,0.75,0.25,319.423068515063
252288000,2027,4.06146494268195,0.003017088243135,0.038424430285257,1,0.561577712609971,1.108179152226,2149.86755531858,3.9531592108771,3.9531592108771,0.005028480405225,0.005028480405225,0.034483463076513,0.034483463076513,0.75,0.25,322.845979738736
283824000,2028,3.92735270594508,0.002917462010131,0.038355267928552,1,0.567774193548387,1.122007464676,2176.69448147161,3.82262330045321,3.82262330045321,0.004862436683551,0.004862436683551,0.034421394294855,0.034421394294855,0.75,0.25,326.528165822447
315360000,2029,3.79834210877099,0.002821625566516,0.038287088109837,1,0.57391495601173,1.135943748334,2203.73087176753,3.69705298587043,3.69705298587043,0.004702709277526,0.004702709277526,0.034360207278059,0.034360207278059,0.75,0.25,330.5020361237
346896000,2030,3.675,0.00273,0.03822,1,0.58,1.15,2231,3.577,3.577,0.00455,0.00455,0.0343,0.0343,0.75,0.25,334.8
378432000,2031,3.55774679252199,0.002642897617302,0.038154084567449,1,0.586029325513196,1.164185117302,2258.51912756598,3.46287354472141,3.46287354472141,0.00440482936217,0.00440482936217,0.034240845124633,0.034240845124633,0.75,0.25,339.446094391496
409968000,2032,3.44641715542522,0.002560195601173,0.038089309970675,1,0.59200293255132,1.178495601173,2286.28146627566,3.35451269794721,3.35451269794721,0.004266992668622,0.004266992668622,0.034182714076246,0.034182714076246,0.75,0.25,344.430866568915
441504000,2033,3.34069932184751,0.002481662353372,0.038025616165689,1,0.59792082111437,1.192924853372,2314.27421554251,3.25161400659824,3.25161400659824,0.004136103922287,0.004136103922287,0.034125552969208,0.034125552969208,0.75,0.25,349.73649138563
473040000,2034,3.24028152492669,0.00240706627566,0.037962943108504,1,0.603782991202346,1.20746627566,2342.48457478005,3.15387401759531,3.15387401759531,0.0040117771261,0.0040117771261,0.034069307917889,0.034069307917889,0.75,0.25,355.345143695015
504576000,2035,3.14485199780059,0.002336175769795,0.037901230755132,1,0.609589442815249,1.222113269795,2370.89974340176,3.06098927785924,3.06098927785924,0.003893626282991,0.003893626282991,0.034013925036657,0.034013925036657,0.75,0.25,361.23899835044
536112000,2036,3.05409897360704,0.002268759237537,0.037840419061584,1,0.615340175953079,1.236859237537,2399.50692082112,2.97265633431085,2.97265633431085,0.003781265395894,0.003781265395894,0.033959350439883,0.033959350439883,0.75,0.25,367.400230205279
567648000,2037,2.96771068548387,0.002204585080645,0.037780447983871,1,0.621035190615836,1.251697580645,2428.29330645161,2.88857173387097,2.88857173387097,0.003674308467742,0.003674308467742,0.033905530241936,0.033905530241936,0.75,0.25,373.811014112903
599184000,2038,2.88537536656892,0.00214342170088,0.037721257478006,1,0.626674486803519,1.26662170088,2457.24609970675,2.80843202346041,2.80843202346041,0.003572369501466,0.003572369501466,0.033852410557185,0.033852410557185,0.75,0.25,380.453524926686
630720000,2039,2.80678125,0.0020850375,0.0376627875,1,0.632258064516129,1.281625,2486.3525,2.73193375,2.73193375,0.0034750625,0.0034750625,0.0337999375,0.0337999375,0.75,0.25,387.3099375
662256000,2040,2.73161656891496,0.002029200879765,0.037604978005865,1,0.637785923753666,1.296700879765,2515.59970674488,2.65877346041056,2.65877346041056,0.003382001466276,0.003382001466276,0.033748057184751,0.033748057184751,0.75,0.25,394.362426686217
693792000,2041,2.65956955645161,0.001975680241935,0.037547768951613,1,0.643258064516129,1.311842741935,2544.97491935483,2.5886477016129,2.5886477016129,0.003292800403226,0.003292800403226,0.033696715725807,0.033696715725807,0.75,0.25,401.59316733871
725328000,2042,2.5903284457478,0.00192424398827,0.037491100293255,1,0.648674486803519,1.32704398827,2574.46533724339,2.52125302052786,2.52125302052786,0.003207073313783,0.003207073313783,0.033645859237537,0.033645859237537,0.75,0.25,408.98433431085
756864000,2043,2.52358146994135,0.001874660520528,0.037434911986804,1,0.654035190615836,1.342298020528,2604.05815982405,2.45628596407625,2.45628596407625,0.00312443420088,0.00312443420088,0.033595433834311,0.033595433834311,0.75,0.25,416.518102456012
788400000,2044,2.45901686217009,0.001826698240469,0.03737914398827,1,0.659340175953079,1.357598240469,2633.74058651027,2.39344307917889,2.39344307917889,0.003044497067449,0.003044497067449,0.033545385630499,0.033545385630499,0.75,0.25,424.176646627566
819936000,2045,2.39632285557185,0.001780125549853,0.037323736253666,1,0.664589442815249,1.372938049853,2663.49981671554,2.3324209127566,2.3324209127566,0.002966875916422,0.002966875916422,0.033495660740469,0.033495660740469,0.75,0.25,431.942141678886
851472000,2046,2.33518768328446,0.00173471085044,0.037268628739003,1,0.669782991202346,1.38831085044,2693.32304985337,2.27291601173021,2.27291601173021,0.002891184750733,0.002891184750733,0.033446205278592,0.033446205278592,0.75,0.25,439.796762463343
883008000,2047,2.27529957844575,0.001690222543988,0.037213761400293,1,0.674920821114369,1.403710043988,2723.19748533724,2.21462492302053,2.21462492302053,0.002817037573314,0.002817037573314,0.033396965359238,0.033396965359238,0.75,0.25,447.722683834311
914544000,2048,2.21634677419355,0.001646429032258,0.037159074193548,1,0.68000293255132,1.419129032258,2753.11032258064,2.15724419354839,2.15724419354839,0.002744048387097,0.002744048387097,0.033347887096774,0.033347887096774,0.75,0.25,455.702080645161
946080000,2049,2.15801750366569,0.001603098717009,0.03710450707478,1,0.685029325513196,1.434561217009,2783.04876099707,2.1004703702346,2.1004703702346,0.002671831195015,0.002671831195015,0.033298916605572,0.033298916605572,0.75,0.25,463.717127749267
977616000,2050,2.1,0.00156,0.03705,1,0.69,1.45,2813,2.044,2.044,0.0026,0.0026,0.03325,0.03325,0.75,0.25,471.75
