,average_remote_working_days,average_working_days,percent_remote_worker,fuel_price,gdp,share_service_sector_gdp,total_vehicles,world_trade_volume,consumer_energy_price,road_load_factor_index,train_ticket_price,commuting_jobs_share,total_jobs,total_population,IC ratio
scenario_000,1.5284516475052203,1.1317783408497377,0.4976929319270053,0.7629383565378777,1.0670577943179707,1.0104092365676502,1.1095228097176322,1.7632238233666582,1.450686141378448,1.4791228483383614,0.9858756845394164,1.034039243125754,1.023635672961496,1.0654791366977463,1.3249589065851193
scenario_001,2.575978057163666,1.0733963564178963,1.2584863874311498,0.8972106345506768,1.1747381704666031,1.009343747091098,1.117078753856074,1.3614143755205577,1.7302109438154663,1.271833773873947,0.9867190295121294,0.6976059380294144,1.016817295412924,1.0544026173088374,1.3444124773771369
scenario_002,0.9727031256204655,0.9949822077839114,0.9517943632652278,0.8573224101067429,1.0403677031897074,1.0127626412643584,1.1466790078147282,1.4752988298036547,1.649957607253201,0.9192444971521349,1.0451201366460279,0.9371638558382136,1.032536619164176,1.0646383679766824,2.092766994972626
scenario_003,1.105533449380219,0.9961437400559324,0.825718947158391,1.1674137338557455,1.2987465788747636,1.0183654543599008,1.0438920903292106,1.7990722576846545,0.9904833507114924,1.3936015653505989,0.9929092140289223,0.7143830029233941,1.0201073032909596,1.088769938025905,1.4837574144720942
scenario_004,0.8496855545583701,1.263862082709276,0.7568466028229799,1.857907538018841,1.264766450494316,1.0097973236111575,1.079603615592597,1.5149783980945546,2.5453001165839972,1.1979824646000052,1.031995817752523,0.9835646356532284,1.0286553946439028,1.072419302871481,1.547873917364918
scenario_005,0.5898264826881385,1.019715965741664,0.8240208812710301,1.0096126928834956,1.2698915808632687,1.00906839144307,1.141172731887413,1.6397372065679954,1.709241183122725,1.164043420396225,0.9889930480982204,1.1082814003913515,1.0270555009323878,1.0837075827255003,1.7557735716434335
scenario_006,1.5726695161594417,1.0524073120045525,0.8499078442362182,0.5989071088248712,1.2573099642606909,1.0018831790267075,1.1365825322559227,1.7654665146292567,2.992573662619413,1.3864578431901868,0.9639570160369499,0.777882202005455,0.990677546667874,1.0842203720742798,1.3166165032085049
scenario_007,0.6418623712308096,1.1536746438623195,0.9032445575385222,1.278642260344894,1.444129132975474,1.0164321467168609,1.024777564995718,1.738545690303571,2.0521921124833957,0.8515615524030695,0.9826560560319711,0.8387092423961398,0.9798076542377023,1.0754347584906527,1.8799494713771352
scenario_008,0.7139802003085699,0.9025035138981007,0.9364429844126361,1.0291318850452784,1.2958462456656124,1.0162421300414612,1.1979705728084005,1.4997109032117661,2.0261647102188087,0.891185737380815,0.9567730408956886,1.100025475204127,1.0310375303973465,1.0680623471650181,1.9009541392235565
scenario_009,2.5895823216337974,1.1424867104294385,0.6458181039138097,0.7078855759259343,1.2114222998754574,0.9990932585330227,1.0260585774798654,1.5547192280183502,1.8115479301928843,0.9547768735965912,0.9717165072397065,1.0044272459399808,1.030428497220251,1.0711859600591624,1.7009577198803294
scenario_010,1.459134171232366,1.1949071684311972,1.1376733306528033,1.056343507109919,1.207342078481717,1.0111215948290655,1.1257854037871382,1.58321798599044,1.6087619269319713,0.8258799751018849,0.9570608283890262,1.0212160389773914,1.0228921811767082,1.063603975762631,2.331653497271987
scenario_011,1.9171185707057519,1.0922340525766234,0.9909696322195868,1.2061278809982623,1.2383501703338704,1.0126870841642746,1.0186342121263376,1.3210418041983139,1.407675461592255,0.7176579420582782,1.053620383149762,0.8179445283978645,1.0101391093626675,1.0823312851625815,2.0647304318688624
scenario_012,2.1448033455527025,1.109666802333951,0.7414259402111468,1.0495635220034518,1.1393265371372843,1.0101762582696525,0.9846877221380039,1.4396920616710647,2.852536189667537,0.6347428762518683,1.009114637584418,0.6605065285585949,1.0047199390242232,1.0845177457447912,2.323470837514343
scenario_013,1.7631426169178341,1.1274514121004395,0.9516713709319101,1.4061033410204091,1.1655894249910896,1.006876044262215,0.9555871718822995,1.7514250054871658,0.8772063334693888,1.5689230545192232,1.0403338371326125,1.0814313702020555,0.9892409574788331,1.0788457315091784,1.5552157730307568
scenario_014,2.077191570098305,1.1980130375984803,0.9407055878545427,0.8952238137668352,1.2285254365728537,1.0129766994561415,1.0636459219320915,1.820611301761072,0.7908968922208888,1.0448041717284227,0.9880634917017425,1.1672276599851243,1.0474924916613761,1.1022689295467545,2.3092255668672603
scenario_015,2.640258937144072,1.0376626011073908,0.6408770616927517,0.8611542494203358,1.2597363981075897,1.0141873061672753,1.019040706176724,1.7078003684538283,1.386727024234803,1.0489632063047702,1.0349932002501772,0.9751818180793821,1.0120337007878755,1.0488675093663964,1.672233655323291
scenario_016,0.9109940215228947,0.973806584122612,0.4329689120295054,1.114573335301101,1.1704572608989847,1.0146724282137396,1.0314368780680079,1.883107802498638,2.497146380899933,0.9846125595203653,0.9975421930747885,0.7017214708235922,0.9992875208602071,1.076110819794161,1.632034130760739
scenario_017,2.042692948433013,1.270417577493831,0.8683617768554349,0.880500992503405,1.3675395647555149,1.012044930491314,1.1753230776963304,1.4420555478548676,2.8110492408340964,1.2581873543709867,0.9865743465117518,0.960415306540174,0.9616446324580022,1.099880014138797,1.8393915470110864
scenario_018,1.27973710306761,1.006767809048406,1.0757410724241419,1.4060343364234091,1.3797472898030014,1.0158944855026237,0.9924875349601017,1.9077377102194815,1.1782689833473254,0.7206080925791334,1.027470991657188,0.8492600961316953,0.9838857921814859,1.0831684455794477,2.4612471268965064
scenario_019,1.753146719031988,1.0775202332833842,0.812026438345198,1.0530833732775293,1.3218061884702186,1.0142847806360933,1.1462875931446066,1.7289861082723368,2.2881577410548455,1.7687906479731093,1.047383727362158,0.9164899199407954,1.002315172298308,1.0783606378943367,1.2761963214670704
scenario_020,3.3439536793219435,1.0797208849690714,0.9574084565312323,0.9620747779137364,1.2858744157377726,1.0064897518504623,1.0206445626626053,1.5815704359711849,0.7344904655235275,1.0419000566502026,1.0086699686514708,1.0071232461145767,1.02729505325706,1.068088838280845,1.8499312452802583
scenario_021,1.0706049331323269,0.9682685505860631,0.9124054980028339,1.807004515801975,1.2930302349741924,1.0073252408527227,1.0130519221141585,1.7788097728829018,0.4300064152897852,0.9857842577454546,0.9978433743379789,1.0624634137526137,1.0528107832322715,1.0778774407203608,1.988579561101341
scenario_022,0.7576187027235024,1.1187514525233375,1.024872442638518,1.235058668998175,1.3640118953972677,1.0067538341221676,1.123978426883861,1.8758209384104785,1.3200263876442102,0.9489474407562696,1.0208070637071631,0.6380178359692882,1.0151466092577224,1.069508299822759,1.907270091223426
scenario_023,1.5667193045975338,1.1636640330256638,0.8463485623418505,1.7713472582319554,1.401203585400406,1.0149203219017977,1.1113324852266186,1.3322993727938928,0.7652068357624965,1.2789918564562492,1.025762727834686,0.7458230331223077,1.043055586914651,1.0672744643642622,1.782566693558712
scenario_024,0.8810386682840907,1.1007082707979885,1.0373100301114648,1.0180440336428056,1.3596282590904492,1.0070630273204477,1.0241368270882503,1.976987110504805,0.984800369116808,1.2838974028225043,1.0023274168639058,1.2410886176256097,1.017793322684307,1.0563036810087023,1.8099711398843064
scenario_025,3.0615714840709605,1.0063090987618222,0.5102045073928473,1.3583301524751394,1.2407174629518305,1.0108226290922393,1.05985214117702,1.9453227324531186,1.1551240244386618,1.4260506694026325,1.0134156492443365,1.090821035051551,1.0273668478141884,1.0729125036320455,1.5449865167202783
scenario_026,0.45691117377776963,0.918862718517269,0.8689722029307532,1.0605455317261552,1.3842679008420125,1.01806745415626,1.1960681151228103,1.6328312495809356,1.313526491450582,0.8564063249103695,1.0075476206172451,0.8975307172640529,0.9817291032148848,1.09435415130204,2.2365278121848253
scenario_027,0.9870821793164564,1.225293198065776,0.5474750658823552,0.859368182512344,1.2441272473894507,1.01219924140255,1.0408162657343294,1.6345138957763292,1.7722299486871398,1.528525368135249,0.9906750582062541,0.7918690180055807,1.0562951401205503,1.08786311615237,1.443982286853415
scenario_028,0.5981490415302185,1.168649183576996,0.9379249684761212,1.0282566029369546,1.3422902038404956,1.004270161360898,1.168303994024061,1.3976618576423443,1.6178880398692257,1.18055409413345,1.0167504642483476,0.79729113978787,1.0722948120643896,1.0581772931845093,1.73407244271735
scenario_029,0.8533711081606145,1.2403922204917988,0.581648985585422,0.8847362026460537,1.3502632224872169,1.012076484862127,1.0394631873219011,1.54733086169088,1.837731362666884,1.4366819231317431,0.9921360035841075,1.1392765711212192,1.00443808718929,1.060274809624,1.6351936567159615
scenario_030,0.9770670531344331,0.9493868788643727,0.938397746158889,0.9202175014186212,1.1684546321255822,1.0041802932665211,0.9622563540246438,1.3861605442738265,0.4824485876932095,1.6261138179126169,0.9512879140077638,0.760322386422926,1.019496794471458,1.0358437488576684,1.2338527566230242
scenario_031,1.1095108521142107,1.0124438657728474,0.6036172100788334,0.8148519821043246,1.2649912775907677,1.0083444750201391,1.0665072782358018,1.5468439673811685,1.3850072036862235,1.5060364807056408,1.053353783678633,0.7814363308606737,0.9826158128527529,1.0683139317990606,1.251862536544342
scenario_032,0.4947486406828283,1.006502731198905,1.0616664639491813,1.4898590312357298,1.1352304191663418,1.0096995092652574,0.970570588814007,1.441455889995332,1.3576013881341142,0.8304211559995945,0.9963905522741006,0.7240358042215809,1.0423862421644245,1.0732860773564712,2.094223884691154
