seconds,_year,average_remote_working_days,average_working_days,percent_remote_worker,fuel_price,gdp,share_service_sector_gdp,total_vehicles,world_trade_volume
0.0,2019.0,1.6,4.38,0.35,56.0,100.0,0.73,100.0,100.0
31536000.0,2020.0,1.505065469356075,4.288403592395264,0.3644204102025331,60.10007074355939,103.9942926899976,0.7398297368299079,102.09230155348439,116.80296828717253
63072000.0,2021.0,1.4154767473438215,4.201830438591976,0.3783793166149817,64.09198020386393,107.8737643682179,0.7492537577252227,104.0676123297675,133.375543114774
94608000.0,2022.0,1.331233833963239,4.120280538590136,0.39187671923734607,67.97572838091358,111.63841503466095,0.7582720626859443,105.92593232884934,149.71772448280433
126144000.0,2023.0,1.2523367292143281,4.043753892389746,0.404912618069626,71.7513152747084,115.28824468932672,0.7668846517120725,107.6672615507299,165.82951239126365
157680000.0,2024.0,1.1787854330970886,3.9722504999908037,0.4174870131118215,75.41874088524835,118.8232533322152,0.7750915248036074,109.2915999954092,181.71090684015184
189216000.0,2025.0,1.1105799456115208,3.90577036139331,0.42959990436393275,78.97800521253343,122.2434409633264,0.7828926819605492,110.79894766288723,197.36190782946898
220752000.0,2026.0,1.047720266757624,3.8443134765972644,0.4412512918259595,82.42910825656365,125.54880758266034,0.7902881231828975,112.18930455316398,212.78251535921504
252288000.0,2027.0,0.990206396535399,3.787879845602667,0.45244117549790197,85.77205001733903,128.73935319021697,0.7972778484706528,113.46267066623945,227.97272942939003
283824000.0,2028.0,0.9380383349448453,3.7364694684095188,0.46316955537976,89.00683049485951,131.81507778599635,0.8038618578238146,114.61904600211365,242.9325500399939
315360000.0,2029.0,0.8912160819859629,3.6900823450178186,0.4734364314715337,92.13344968912514,134.77598136999845,0.8100401512423833,115.65843056078658,257.6619771910268
346896000.0,2030.0,0.8497396376587522,3.6487184754275668,0.48324180377322296,95.15190760013591,137.62206394222324,0.8158127287263586,116.58082434225824,272.1610108824885
378432000.0,2031.0,0.8136090019632126,3.6123778596387637,0.49258567228482786,98.06220422789183,140.35332550267077,0.8211795902757406,117.38622734652863,286.4296511143791
409968000.0,2032.0,0.7828241748993447,3.581060497651409,0.5014680370063485,100.86433957239286,142.96976605134103,0.8261407358905295,118.07463957359774,300.4678978866987
441504000.0,2033.0,0.757385156467148,3.5547663894655024,0.5098888979377846,103.55831363363905,145.47138558823397,0.830696165570725,118.64606102346558,314.2757511994472
473040000.0,2034.0,0.7372919466666228,3.5334955350810437,0.5178482550791363,106.14412641163038,147.85818411334967,0.8348458793163274,119.10049169613212,327.8532110526247
504576000.0,2035.0,0.7225445454977691,3.5172479344980343,0.5253461084304037,108.62177790636684,150.1301616266881,0.8385898771273362,119.43793159159742,341.20027744623104
536112000.0,2036.0,0.7131429529605867,3.506023587716473,0.5323824579915868,110.99126811784843,152.28731812824924,0.841928159003752,119.65838070986143,354.31695038026635
567648000.0,2037.0,0.7090871690550757,3.4998224947363608,0.5389573037626854,113.25259704607517,154.32965361803306,0.8448607249455745,119.76183905092418,367.2032298547305
599184000.0,2038.0,0.7103771937812362,3.498644655557696,0.5450706457436997,115.40576469104704,156.25716809603966,0.8473875749528037,119.74830661478566,379.8591158696236
630720000.0,2039.0,0.7170130271390682,3.5024900701804804,0.5507224839346296,117.45077105276407,158.06986156226895,0.8495087090254396,119.61778340144586,392.28460842494576
662256000.0,2040.0,0.7289946691285716,3.511358738604713,0.555912818335475,119.38761613122621,159.76773401672096,0.8512241271634823,119.37026941090477,404.4797075206967
693792000.0,2041.0,0.7463221197497463,3.525250660830394,0.5606416489462362,121.21629992643348,161.35078545939572,0.8525338293669317,119.00576464316242,416.4444131568766
725328000.0,2042.0,0.7689953790025923,3.5441658368575233,0.564908975766913,122.9368224383859,162.81901589029317,0.8534378156357878,118.52426909821881,428.1787253334854
756864000.0,2043.0,0.7970144468871099,3.568104266686101,0.5687147987975053,124.54918366708348,164.17242530941334,0.8539360859700507,117.92578277607392,439.6826440505231
788400000.0,2044.0,0.8303793234032989,3.5970659503161277,0.5720591180380133,126.05338361252618,165.41101371675626,0.8540286403697203,117.21030567672776,450.95616930798985
819936000.0,2045.0,0.8690900085511594,3.631050887747602,0.574941933488437,127.44942227471401,166.53478111232187,0.8537154788347966,116.37783780018032,461.9993011058854
851472000.0,2046.0,0.9131465023306912,3.6700590789805254,0.5773632451487763,128.737299653647,167.5437274961102,0.8529966013652797,115.4283791464316,472.8120394442099
883008000.0,2047.0,0.9625488047418944,3.714090524014897,0.5793230530190311,129.91701574932512,168.43785286812127,0.8518720079611695,114.36192971548161,483.3943843229634
914544000.0,2048.0,1.017296915784769,3.7631452228507167,0.5808213570992016,130.98857056174836,169.21715722835506,0.8503416986224659,113.17848950733035,493.7463357421457
946080000.0,2049.0,1.0773908354593151,3.8172231754879853,0.5818581573892877,131.95196409091673,169.88164057681155,0.8484056733491692,111.87805852197782,503.867893701757
977616000.0,2050.0,1.142830563765533,3.876324381926702,0.5824334538892895,132.80719633683026,170.43130291349078,0.8460639321412792,110.46063675942402,513.7590582017972
